"punishment";"offence";"age";"tot";"length";"region";"2023"
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"Up to 14 days";"Unknown municipality";94
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Copenhagen";24
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Frederiksberg";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Dragør";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Tårnby";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Albertslund";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Ballerup";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Brøndby";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Gentofte";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Gladsaxe";5
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Glostrup";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Herlev";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Hvidovre";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Høje-Taastrup";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Ishøj";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Lyngby-Taarbæk";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Rødovre";6
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Vallensbæk";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Allerød";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Egedal";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Fredensborg";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Frederikssund";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Furesø";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Gribskov";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Halsnæs";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Helsingør";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Hillerød";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Hørsholm";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Rudersdal";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Bornholm";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Christiansø";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Greve";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Køge";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Lejre";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Roskilde";7
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Solrød";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Faxe";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Guldborgsund";9
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Holbæk";5
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Kalundborg";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Lolland";10
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Næstved";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Odsherred";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Ringsted";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Slagelse";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Sorø";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Stevns";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Vordingborg";7
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Assens";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Faaborg-Midtfyn";5
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Kerteminde";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Langeland";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Middelfart";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Nordfyns";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Nyborg";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Odense";12
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Svendborg";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Ærø";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Billund";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Esbjerg";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Fanø";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Fredericia";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Haderslev";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Kolding";6
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Sønderborg";5
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Tønder";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Varde";5
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Vejen";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Vejle";8
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Aabenraa";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Favrskov";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Hedensted";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Horsens";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Norddjurs";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Odder";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Randers";8
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Samsø";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Silkeborg";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Skanderborg";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Syddjurs";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Aarhus";11
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Herning";8
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Holstebro";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Ikast-Brande";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Lemvig";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Ringkøbing-Skjern";7
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Skive";5
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Struer";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Viborg";7
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Brønderslev";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Frederikshavn";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Hjørring";4
