"sex";"offence";"region";"age";"length";"2020";"2021";"2022";"2023"
"Total";"Nature of the offence, total";"All Denmark";"21 years";">4 - 5 years";1;3;0;3
"Total";"Nature of the offence, total";"All Denmark";"21 years";">5 - 6 years";2;2;3;1
"Total";"Nature of the offence, total";"All Denmark";"21 years";">6 - 8 years";3;1;1;1
"Total";"Nature of the offence, total";"All Denmark";"21 years";">8 - 12 years";3;4;1;7
"Total";"Nature of the offence, total";"All Denmark";"21 years";">12 year -";0;1;1;1
"Total";"Nature of the offence, total";"All Denmark";"21 years";"Imprisonment for life";0;0;0;1
"Total";"Nature of the offence, total";"All Denmark";"21 years";"Unknown lenght of penalty";0;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"22 years";"Up to 14 days";16;15;17;17
"Total";"Nature of the offence, total";"All Denmark";"22 years";"15 - 21 days";13;5;10;14
"Total";"Nature of the offence, total";"All Denmark";"22 years";"22 - 30 days";21;21;21;27
"Total";"Nature of the offence, total";"All Denmark";"22 years";"31 - 60 days";69;54;55;59
"Total";"Nature of the offence, total";"All Denmark";"22 years";">2 - 3 months";40;18;33;43
"Total";"Nature of the offence, total";"All Denmark";"22 years";">3 - 4 months";23;18;10;17
"Total";"Nature of the offence, total";"All Denmark";"22 years";">4 - 6 months";22;24;26;19
"Total";"Nature of the offence, total";"All Denmark";"22 years";">6 - 9 months";20;13;10;8
"Total";"Nature of the offence, total";"All Denmark";"22 years";">9 - 12 months";12;27;9;17
"Total";"Nature of the offence, total";"All Denmark";"22 years";">12 - 15 months";12;4;9;6
"Total";"Nature of the offence, total";"All Denmark";"22 years";">15 - 18 months";8;6;5;6
"Total";"Nature of the offence, total";"All Denmark";"22 years";">18 - 24 months";2;7;9;5
"Total";"Nature of the offence, total";"All Denmark";"22 years";">2- 3 years";13;10;12;10
"Total";"Nature of the offence, total";"All Denmark";"22 years";">3 - 4 years";3;5;3;1
"Total";"Nature of the offence, total";"All Denmark";"22 years";">4 - 5 years";5;2;1;3
"Total";"Nature of the offence, total";"All Denmark";"22 years";">5 - 6 years";2;4;1;0
"Total";"Nature of the offence, total";"All Denmark";"22 years";">6 - 8 years";3;1;2;0
"Total";"Nature of the offence, total";"All Denmark";"22 years";">8 - 12 years";3;3;1;0
"Total";"Nature of the offence, total";"All Denmark";"22 years";">12 year -";0;2;0;0
"Total";"Nature of the offence, total";"All Denmark";"22 years";"Imprisonment for life";1;0;1;2
"Total";"Nature of the offence, total";"All Denmark";"22 years";"Unknown lenght of penalty";0;0;1;0
"Total";"Nature of the offence, total";"All Denmark";"23 years";"Up to 14 days";17;18;17;12
"Total";"Nature of the offence, total";"All Denmark";"23 years";"15 - 21 days";13;16;13;14
"Total";"Nature of the offence, total";"All Denmark";"23 years";"22 - 30 days";23;18;21;16
"Total";"Nature of the offence, total";"All Denmark";"23 years";"31 - 60 days";62;50;59;61
"Total";"Nature of the offence, total";"All Denmark";"23 years";">2 - 3 months";37;44;33;34
"Total";"Nature of the offence, total";"All Denmark";"23 years";">3 - 4 months";23;18;19;17
"Total";"Nature of the offence, total";"All Denmark";"23 years";">4 - 6 months";29;40;31;33
"Total";"Nature of the offence, total";"All Denmark";"23 years";">6 - 9 months";20;23;15;10
"Total";"Nature of the offence, total";"All Denmark";"23 years";">9 - 12 months";22;17;8;15
"Total";"Nature of the offence, total";"All Denmark";"23 years";">12 - 15 months";8;11;9;8
"Total";"Nature of the offence, total";"All Denmark";"23 years";">15 - 18 months";5;6;3;8
"Total";"Nature of the offence, total";"All Denmark";"23 years";">18 - 24 months";12;8;11;5
"Total";"Nature of the offence, total";"All Denmark";"23 years";">2- 3 years";11;15;11;13
"Total";"Nature of the offence, total";"All Denmark";"23 years";">3 - 4 years";4;4;1;4
"Total";"Nature of the offence, total";"All Denmark";"23 years";">4 - 5 years";3;7;2;5
"Total";"Nature of the offence, total";"All Denmark";"23 years";">5 - 6 years";3;4;5;0
"Total";"Nature of the offence, total";"All Denmark";"23 years";">6 - 8 years";1;3;2;2
"Total";"Nature of the offence, total";"All Denmark";"23 years";">8 - 12 years";2;1;0;5
"Total";"Nature of the offence, total";"All Denmark";"23 years";">12 year -";2;3;4;0
"Total";"Nature of the offence, total";"All Denmark";"23 years";"Imprisonment for life";0;0;2;1
"Total";"Nature of the offence, total";"All Denmark";"23 years";"Unknown lenght of penalty";0;1;0;0
"Total";"Nature of the offence, total";"All Denmark";"24 years";"Up to 14 days";19;5;17;20
