"offence";"region";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Sexual offenses, total";"Roskilde";4;13;6;4;10;9;9;15;14;24;20;22;29;15
"Sexual offenses, total";"Solr�d";2;3;3;2;1;0;1;0;1;5;1;0;2;5
"Sexual offenses, total";"Faxe";1;3;5;2;2;6;7;7;14;5;12;7;13;5
"Sexual offenses, total";"Guldborgsund";13;9;5;4;8;11;11;14;14;9;11;18;14;20
"Sexual offenses, total";"Holb�k";9;11;15;7;7;6;8;7;11;11;16;12;15;20
"Sexual offenses, total";"Kalundborg";13;6;4;4;9;5;9;12;4;12;7;7;14;19
"Sexual offenses, total";"Lolland";2;7;9;4;6;6;7;6;12;8;8;11;12;16
"Sexual offenses, total";"N�stved";9;10;5;12;7;10;10;11;15;16;24;13;15;15
"Sexual offenses, total";"Odsherred";9;3;3;5;4;3;6;13;8;9;7;11;6;14
"Sexual offenses, total";"Ringsted";3;3;3;5;5;7;3;9;4;4;4;38;10;8
"Sexual offenses, total";"Slagelse";4;5;3;11;9;14;19;17;27;24;28;22;26;114
"Sexual offenses, total";"Sor�";4;2;2;6;3;3;0;7;4;15;11;14;4;3
"Sexual offenses, total";"Stevns";3;1;1;3;2;1;2;5;4;3;4;3;7;5
"Sexual offenses, total";"Vordingborg";9;4;3;3;3;1;10;7;6;8;15;14;5;12
"Sexual offenses, total";"Region Syddanmark";153;146;130;117;167;179;187;187;249;226;250;286;246;277
"Sexual offenses, total";"Assens";23;3;0;5;2;11;2;6;7;4;2;13;5;14
"Sexual offenses, total";"Faaborg-Midtfyn";1;0;1;2;6;5;6;3;8;6;15;9;15;4
"Sexual offenses, total";"Kerteminde";1;2;3;1;2;3;1;1;3;1;4;3;2;3
"Sexual offenses, total";"Langeland";1;1;2;0;0;4;2;2;0;0;1;2;3;2
"Sexual offenses, total";"Middelfart";9;4;2;0;2;4;1;1;8;5;7;7;2;14
"Sexual offenses, total";"Nordfyns";1;3;1;1;7;3;4;3;3;3;4;9;7;6
"Sexual offenses, total";"Nyborg";3;8;4;6;8;11;3;3;2;3;8;8;1;2
"Sexual offenses, total";"Odense";33;35;25;29;31;29;41;37;51;41;38;34;43;40
"Sexual offenses, total";"Svendborg";2;4;6;9;2;7;6;9;3;4;8;10;8;14
"Sexual offenses, total";"�r�";0;3;0;0;0;0;1;0;2;0;1;0;1;0
"Sexual offenses, total";"Billund";2;3;2;0;1;4;6;3;4;5;8;5;5;3
"Sexual offenses, total";"Esbjerg";23;8;22;11;27;22;20;19;51;28;24;54;36;45
"Sexual offenses, total";"Fan�";0;1;0;0;1;0;0;0;2;0;0;0;0;0
"Sexual offenses, total";"Fredericia";5;3;2;7;7;9;11;6;9;11;11;17;10;4
"Sexual offenses, total";"Haderslev";1;14;11;3;2;7;7;9;12;11;8;6;17;8
"Sexual offenses, total";"Kolding";10;9;4;10;5;15;18;16;21;16;17;12;16;20
"Sexual offenses, total";"S�nderborg";6;7;14;4;14;6;15;14;8;19;25;16;18;29
"Sexual offenses, total";"T�nder";1;5;3;3;5;11;9;10;2;8;9;8;7;16
"Sexual offenses, total";"Varde";6;7;1;8;8;5;6;9;10;23;5;7;8;12
"Sexual offenses, total";"Vejen";1;3;3;3;2;7;4;4;13;14;10;6;7;10
"Sexual offenses, total";"Vejle";14;10;13;10;12;6;10;17;18;11;21;31;12;26
"Sexual offenses, total";"Aabenraa";10;13;11;5;23;10;14;15;12;13;24;29;23;5
"Sexual offenses, total";"Region Midtjylland";200;150;124;165;108;113;137;186;204;216;222;512;190;256
"Sexual offenses, total";"Favrskov";6;4;2;5;4;1;4;4;7;7;9;2;3;10
"Sexual offenses, total";"Hedensted";1;5;3;7;1;1;6;5;11;3;7;5;11;6
"Sexual offenses, total";"Horsens";8;11;8;8;2;7;3;23;13;18;11;15;13;45
"Sexual offenses, total";"Norddjurs";5;6;3;4;4;2;4;3;4;6;8;4;9;5
"Sexual offenses, total";"Odder";0;1;2;2;1;1;2;2;0;2;0;2;0;0
"Sexual offenses, total";"Randers";100;6;8;20;8;17;9;15;19;17;63;51;16;22
"Sexual offenses, total";"Sams�";0;0;0;0;0;0;1;0;0;0;0;1;0;1
"Sexual offenses, total";"Silkeborg";3;4;7;8;9;7;4;15;23;14;13;18;17;7
"Sexual offenses, total";"Skanderborg";5;12;3;0;5;3;4;3;6;8;4;4;3;4
"Sexual offenses, total";"Syddjurs";3;1;10;1;5;3;4;3;1;3;3;7;4;3
"Sexual offenses, total";"Aarhus";31;35;33;27;28;29;51;44;42;31;28;63;39;57
"Sexual offenses, total";"Herning";4;17;2;9;14;7;10;25;17;16;10;47;22;16
"Sexual offenses, total";"Holstebro";1;8;5;49;6;5;3;6;9;39;16;12;8;14
"Sexual offenses, total";"Ikast-Brande";1;15;14;3;3;1;5;5;3;8;7;7;6;15
"Sexual offenses, total";"Lemvig";1;1;2;0;1;0;1;2;0;1;0;3;3;3
"Sexual offenses, total";"Ringk�bing-Skjern";11;6;4;4;3;2;3;3;2;9;13;2;1;14
"Sexual offenses, total";"Skive";5;7;1;8;6;10;3;8;15;7;8;11;9;7
"Sexual offenses, total";"Struer";5;3;2;1;1;4;3;4;2;15;3;5;9;6
"Sexual offenses, total";"Viborg";10;8;15;9;7;13;17;16;30;12;19;253;17;21
"Sexual offenses, total";"Region Nordjylland";59;58;58;52;59;59;71;119;227;111;146;110;111;208
"Sexual offenses, total";"Br�nderslev";2;3;4;9;3;3;6;7;4;3;13;1;7;4
