"offence";"region";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Burglary - business and community";"Fredericia";145;143;89;80;83;29;42;39;30;32;19;30;35;20
"Burglary - business and community";"Haderslev";65;75;56;83;67;30;61;51;40;31;28;17;28;17
"Burglary - business and community";"Kolding";137;110;70;131;112;124;83;101;85;51;28;39;39;44
"Burglary - business and community";"S�nderborg";165;77;56;61;27;35;74;56;50;27;18;23;16;18
"Burglary - business and community";"T�nder";56;38;50;36;17;23;16;22;45;29;28;14;22;16
"Burglary - business and community";"Varde";124;60;46;56;34;31;22;33;35;17;22;13;26;14
"Burglary - business and community";"Vejen";87;61;48;39;31;24;24;25;28;24;15;10;20;12
"Burglary - business and community";"Vejle";199;136;97;96;92;81;88;72;97;53;47;42;63;48
"Burglary - business and community";"Aabenraa";85;79;68;76;45;39;38;63;51;48;35;18;21;16
"Burglary - business and community";"Region Midtjylland";1554;1497;1146;1035;1016;856;938;1010;698;742;671;402;654;621
"Burglary - business and community";"Favrskov";70;61;29;24;45;17;23;27;16;21;25;20;19;19
"Burglary - business and community";"Hedensted";51;83;51;33;37;31;29;22;15;14;17;32;34;26
"Burglary - business and community";"Horsens";104;97;48;64;60;38;43;89;35;47;22;43;47;62
"Burglary - business and community";"Norddjurs";84;43;33;44;43;23;26;13;23;19;25;9;12;8
"Burglary - business and community";"Odder";34;31;30;23;18;8;30;24;4;12;11;5;4;6
"Burglary - business and community";"Randers";122;101;67;79;110;81;54;48;45;45;79;18;58;32
"Burglary - business and community";"Sams�";0;2;4;7;1;2;3;0;0;2;3;0;0;0
"Burglary - business and community";"Silkeborg";81;82;72;39;62;71;34;49;38;41;27;36;29;54
"Burglary - business and community";"Skanderborg";56;85;62;26;37;37;27;36;20;26;27;18;35;29
"Burglary - business and community";"Syddjurs";76;32;41;42;48;27;38;33;28;24;21;19;9;13
"Burglary - business and community";"Aarhus";531;472;317;372;264;251;344;404;298;271;284;124;294;238
"Burglary - business and community";"Herning";67;77;89;59;69;67;82;61;41;48;23;17;27;15
"Burglary - business and community";"Holstebro";36;39;70;35;33;34;34;39;27;19;15;11;20;18
"Burglary - business and community";"Ikast-Brande";51;45;32;26;29;25;37;34;10;24;22;10;15;22
"Burglary - business and community";"Lemvig";20;16;12;7;7;3;5;8;1;27;4;3;1;2
"Burglary - business and community";"Ringk�bing-Skjern";44;61;56;32;39;26;35;42;27;23;9;3;16;11
"Burglary - business and community";"Skive";34;57;39;40;22;37;16;24;15;12;24;2;6;8
"Burglary - business and community";"Struer";22;16;22;7;18;21;21;8;5;15;2;2;4;2
"Burglary - business and community";"Viborg";71;97;72;76;74;57;57;49;50;52;31;30;24;56
"Burglary - business and community";"Region Nordjylland";850;734;500;394;398;404;338;279;252;270;191;132;115;113
"Burglary - business and community";"Br�nderslev";60;44;22;23;15;13;9;8;18;10;8;4;7;8
"Burglary - business and community";"Frederikshavn";119;83;62;46;50;66;40;41;27;39;12;18;19;8
"Burglary - business and community";"Hj�rring";59;55;43;28;40;47;16;19;37;24;19;12;14;11
"Burglary - business and community";"Jammerbugt";43;59;23;15;34;14;24;21;12;9;11;7;4;12
"Burglary - business and community";"L�s�";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Burglary - business and community";"Mariagerfjord";64;72;59;42;77;37;22;27;17;27;29;11;13;10
"Burglary - business and community";"Mors�";27;16;22;21;13;12;35;19;10;13;4;4;4;8
"Burglary - business and community";"Rebild";32;31;21;14;27;20;19;9;13;21;18;10;6;6
"Burglary - business and community";"Thisted";51;39;42;35;37;65;38;23;31;15;10;14;9;12
"Burglary - business and community";"Vesthimmerlands";48;52;68;63;36;27;32;27;12;28;28;22;4;5
"Burglary - business and community";"Aalborg";347;283;138;107;69;103;103;85;74;84;52;30;35;33
"Burglary - business and community";"Unknown municipality";11;18;13;9;7;7;7;13;12;15;5;4;8;4
"Robbery";"All Denmark";1007;925;841;838;638;587;580;595;482;513;365;347;356;332
"Robbery";"Region Hovedstaden";556;490;497;490;342;302;318;319;217;263;218;155;173;166
"Robbery";"Copenhagen";276;270;324;284;165;176;209;204;135;169;131;110;105;95
"Robbery";"Frederiksberg";30;20;29;42;26;9;18;15;13;12;16;5;12;1
"Robbery";"Drag�r";0;0;1;2;0;0;0;0;0;1;0;0;0;0
"Robbery";"T�rnby";12;5;3;13;7;4;4;5;3;3;4;2;5;1
"Robbery";"Albertslund";8;9;4;7;5;6;2;4;6;2;0;4;0;0
"Robbery";"Ballerup";6;9;6;8;6;6;2;8;5;4;3;5;3;3
"Robbery";"Br�ndby";14;10;10;17;8;8;0;5;6;7;3;2;5;4
"Robbery";"Gentofte";5;3;6;5;5;6;7;7;4;6;6;2;2;4
"Robbery";"Gladsaxe";18;13;11;6;12;9;7;11;3;6;5;0;4;7
"Robbery";"Glostrup";7;12;5;6;4;0;3;1;6;3;2;0;2;1
"Robbery";"Herlev";8;9;9;7;10;2;4;5;3;1;4;2;1;11
"Robbery";"Hvidovre";13;18;12;21;8;12;10;10;4;6;6;3;5;5
"Robbery";"H�je-Taastrup";14;9;11;9;5;11;4;7;6;7;6;2;3;7
"Robbery";"Ish�j";15;8;5;3;9;7;6;4;4;5;3;0;2;2
"Robbery";"Lyngby-Taarb�k";15;9;7;6;6;4;5;3;4;3;3;0;1;2
"Robbery";"R�dovre";12;8;16;5;3;4;1;4;2;4;7;1;2;3
"Robbery";"Vallensb�k";6;4;2;6;1;0;0;2;0;1;1;0;0;2
"Robbery";"Aller�d";8;7;3;2;1;1;3;2;0;0;3;1;0;1
"Robbery";"Egedal";4;3;1;4;2;3;2;1;0;2;0;1;1;1
"Robbery";"Fredensborg";7;4;6;3;6;1;2;0;2;2;2;2;2;2
"Robbery";"Frederikssund";18;7;1;3;4;1;3;2;2;2;1;1;4;2
"Robbery";"Fures�";12;15;1;4;6;4;0;0;2;2;0;1;2;1
"Robbery";"Gribskov";4;1;3;0;8;2;1;1;1;2;1;0;0;1
"Robbery";"Halsn�s";7;4;2;0;1;4;2;2;1;1;0;2;0;1
"Robbery";"Helsing�r";14;10;9;13;18;8;7;6;1;8;3;4;3;2
"Robbery";"Hiller�d";12;14;3;8;5;4;6;3;3;3;3;1;4;5
"Robbery";"H�rsholm";1;1;3;2;6;5;4;5;0;0;1;1;2;0
"Robbery";"Rudersdal";9;5;3;3;5;3;5;2;1;1;4;3;1;0
"Robbery";"Bornholm";1;3;1;1;0;2;1;0;0;0;0;0;2;2
"Robbery";"Christians�";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Robbery";"Region Sj�lland";128;82;82;73;64;74;55;53;59;62;43;48;36;35
"Robbery";"Greve";8;9;8;5;5;6;4;4;4;3;2;5;5;2
"Robbery";"K�ge";6;8;6;5;4;5;5;0;2;9;2;5;2;0
"Robbery";"Lejre";1;1;1;1;2;3;1;3;2;1;0;1;0;1
"Robbery";"Roskilde";13;7;8;6;11;8;9;14;5;4;6;13;4;3
"Robbery";"Solr�d";7;3;1;1;0;0;1;1;1;2;0;0;0;1
"Robbery";"Faxe";4;0;6;3;0;2;3;1;3;2;2;0;1;0
"Robbery";"Guldborgsund";14;3;3;6;9;3;4;4;5;9;0;5;3;8
"Robbery";"Holb�k";6;9;9;9;4;9;5;5;6;3;4;0;2;5
"Robbery";"Kalundborg";8;4;3;5;2;5;3;3;5;1;5;2;0;5
"Robbery";"Lolland";7;1;2;1;3;4;7;5;1;4;3;4;2;1
"Robbery";"N�stved";12;7;7;7;3;8;2;1;4;6;2;5;5;3
"Robbery";"Odsherred";4;6;4;3;1;1;1;2;2;0;0;1;1;0
"Robbery";"Ringsted";2;2;3;5;6;5;4;1;3;1;4;2;1;1
"Robbery";"Slagelse";26;19;15;13;10;11;1;7;13;11;8;1;8;1
"Robbery";"Sor�";4;1;1;1;2;2;4;0;0;3;2;2;1;1
"Robbery";"Stevns";4;0;1;0;1;0;0;0;1;0;0;0;1;0
"Robbery";"Vordingborg";2;2;4;2;1;2;1;2;2;3;3;2;0;3
"Robbery";"Region Syddanmark";131;136;106;119;100;84;89;90;76;69;50;69;59;45
"Robbery";"Assens";1;3;3;6;1;2;0;1;1;4;2;2;0;0
"Robbery";"Faaborg-Midtfyn";2;2;3;4;2;3;1;1;0;1;3;1;1;0
"Robbery";"Kerteminde";0;3;2;2;2;0;1;2;1;0;2;1;2;1
"Robbery";"Langeland";0;2;0;1;0;0;0;0;1;1;0;0;0;0
"Robbery";"Middelfart";2;3;3;1;4;0;1;2;1;6;2;0;1;2
"Robbery";"Nordfyns";2;2;1;1;1;0;0;2;0;2;0;1;0;0
"Robbery";"Nyborg";3;5;2;4;3;3;1;1;0;0;0;1;0;1
"Robbery";"Odense";39;51;43;57;40;23;37;21;27;13;11;20;17;7
"Robbery";"Svendborg";7;4;5;0;3;5;2;3;5;7;1;2;4;1
"Robbery";"�r�";0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Robbery";"Billund";2;1;5;1;2;1;0;0;0;0;2;1;0;0
"Robbery";"Esbjerg";4;18;5;4;12;10;4;11;8;9;5;7;6;11
"Robbery";"Fan�";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Robbery";"Fredericia";16;5;6;4;3;6;5;5;6;6;3;5;6;4
"Robbery";"Haderslev";5;5;4;5;5;6;4;1;2;3;2;4;0;1
"Robbery";"Kolding";13;7;2;4;3;3;9;15;6;4;2;9;5;6
"Robbery";"S�nderborg";5;3;3;5;2;2;4;3;3;1;4;3;5;0
"Robbery";"T�nder";4;1;2;0;4;1;3;2;3;1;2;0;1;1
"Robbery";"Varde";4;3;1;2;1;2;1;4;4;4;2;3;0;1
"Robbery";"Vejen";2;4;3;2;2;3;0;1;0;1;1;1;2;1
"Robbery";"Vejle";14;9;10;12;8;11;13;11;5;4;5;6;8;6
"Robbery";"Aabenraa";6;5;3;4;2;2;3;4;3;2;1;2;1;2
"Robbery";"Region Midtjylland";145;141;125;117;107;88;100;93;91;70;44;53;66;64
"Robbery";"Favrskov";0;2;2;1;1;0;0;1;1;5;1;0;1;0
"Robbery";"Hedensted";0;2;2;3;1;3;3;3;1;3;0;1;0;0
"Robbery";"Horsens";7;14;5;2;6;7;6;12;4;5;4;2;3;5
"Robbery";"Norddjurs";3;6;2;1;5;2;2;1;0;2;0;0;0;2
"Robbery";"Odder";1;2;1;1;0;0;0;3;1;0;1;0;0;0
"Robbery";"Randers";6;12;6;10;7;5;7;6;12;5;7;4;6;6
"Robbery";"Sams�";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Robbery";"Silkeborg";12;4;12;10;5;4;1;3;3;2;1;4;4;1
"Robbery";"Skanderborg";3;2;1;7;2;5;1;1;1;0;1;0;2;0
"Robbery";"Syddjurs";1;3;1;3;2;1;1;3;2;1;1;1;0;1
"Robbery";"Aarhus";88;63;69;52;53;50;57;34;56;35;18;27;31;39
"Robbery";"Herning";9;11;8;10;9;5;7;10;3;2;2;3;3;3
"Robbery";"Holstebro";1;3;1;5;7;2;2;2;2;3;2;5;3;1
"Robbery";"Ikast-Brande";0;4;2;1;2;0;8;3;2;0;1;1;0;2
"Robbery";"Lemvig";0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Robbery";"Ringk�bing-Skjern";1;1;2;3;1;1;2;3;0;0;1;0;2;1
"Robbery";"Skive";2;5;2;0;1;1;1;2;0;2;1;2;1;1
"Robbery";"Struer";3;1;0;1;2;1;0;3;0;0;0;0;6;0
"Robbery";"Viborg";8;5;9;7;3;1;2;3;3;5;3;3;4;2
"Robbery";"Region Nordjylland";40;71;30;36;25;39;17;38;36;42;8;21;21;20
"Robbery";"Br�nderslev";3;4;2;0;4;0;1;1;2;0;0;0;0;0
"Robbery";"Frederikshavn";1;4;5;2;2;4;1;6;0;2;3;1;2;1
"Robbery";"Hj�rring";4;6;2;5;1;6;0;4;2;3;1;5;1;0
"Robbery";"Jammerbugt";4;3;0;2;0;0;3;1;1;2;0;1;2;3
"Robbery";"L�s�";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Robbery";"Mariagerfjord";3;2;0;0;0;1;1;1;3;3;0;1;2;0
"Robbery";"Mors�";1;3;2;0;2;1;0;0;1;0;0;0;0;0
"Robbery";"Rebild";0;0;2;1;1;2;0;0;1;0;0;0;0;0
"Robbery";"Thisted";1;1;0;2;2;2;0;1;1;0;0;0;0;0
"Robbery";"Vesthimmerlands";5;5;1;4;0;2;1;1;1;2;1;0;1;1
"Robbery";"Aalborg";18;43;16;20;13;21;10;23;24;30;3;13;13;15
"Robbery";"Unknown municipality";7;5;1;3;0;0;1;2;3;7;2;1;1;2
"Trafficking of drugs, etc.";"All Denmark";257;206;215;265;220;228;224;206;273;273;338;262;349;333
"Trafficking of drugs, etc.";"Region Hovedstaden";69;50;81;107;116;105;102;92;118;105;135;92;152;120
"Trafficking of drugs, etc.";"Copenhagen";33;28;50;61;74;68;66;54;68;69;81;55;79;74
"Trafficking of drugs, etc.";"Frederiksberg";4;2;2;5;6;8;1;3;8;6;9;6;5;10
"Trafficking of drugs, etc.";"Drag�r";1;0;1;0;0;1;0;1;0;0;0;0;2;0
"Trafficking of drugs, etc.";"T�rnby";2;2;4;3;1;5;8;2;7;3;0;2;1;5
"Trafficking of drugs, etc.";"Albertslund";3;0;1;1;1;2;0;3;7;4;2;3;5;3
"Trafficking of drugs, etc.";"Ballerup";3;0;5;2;9;2;7;4;3;2;1;2;3;0
"Trafficking of drugs, etc.";"Br�ndby";1;1;0;3;0;2;0;2;7;3;2;1;5;0
"Trafficking of drugs, etc.";"Gentofte";1;0;0;1;0;0;0;0;0;1;1;0;3;1
"Trafficking of drugs, etc.";"Gladsaxe";2;2;1;3;0;2;3;4;1;2;7;2;5;5
"Trafficking of drugs, etc.";"Glostrup";3;1;1;3;5;1;2;2;2;0;3;0;3;4
"Trafficking of drugs, etc.";"Herlev";2;2;3;3;0;0;2;0;0;1;0;4;1;1
"Trafficking of drugs, etc.";"Hvidovre";1;3;1;4;4;1;4;3;3;0;3;2;7;1
"Trafficking of drugs, etc.";"H�je-Taastrup";1;0;0;0;0;0;0;0;3;2;3;4;2;3
"Trafficking of drugs, etc.";"Ish�j";0;0;0;2;1;2;1;2;1;0;4;0;3;5
"Trafficking of drugs, etc.";"Lyngby-Taarb�k";3;0;0;0;0;1;1;1;1;2;1;3;5;0
"Trafficking of drugs, etc.";"R�dovre";2;2;3;3;2;0;0;3;1;1;3;2;3;0
"Trafficking of drugs, etc.";"Vallensb�k";0;0;0;0;0;0;0;0;2;1;0;0;0;0
"Trafficking of drugs, etc.";"Aller�d";0;0;0;1;0;1;0;1;0;0;0;0;0;1
"Trafficking of drugs, etc.";"Egedal";0;1;0;0;1;0;0;0;0;0;1;0;2;0
"Trafficking of drugs, etc.";"Fredensborg";0;0;1;0;0;0;2;0;0;0;0;0;1;2
"Trafficking of drugs, etc.";"Frederikssund";0;0;0;2;2;0;2;1;1;0;0;1;2;0
"Trafficking of drugs, etc.";"Fures�";1;0;1;0;0;0;0;0;0;0;0;0;1;1
"Trafficking of drugs, etc.";"Gribskov";1;0;0;2;1;1;0;0;1;1;3;0;0;2
"Trafficking of drugs, etc.";"Halsn�s";3;1;0;2;3;3;1;2;0;2;1;0;1;0
"Trafficking of drugs, etc.";"Helsing�r";0;0;2;1;1;1;0;1;1;1;3;0;3;1
"Trafficking of drugs, etc.";"Hiller�d";0;0;1;1;1;0;0;2;0;0;1;0;1;0
"Trafficking of drugs, etc.";"H�rsholm";0;0;1;0;1;0;0;0;0;0;1;0;0;0
"Trafficking of drugs, etc.";"Rudersdal";0;1;0;2;1;0;0;0;0;0;0;0;5;0
"Trafficking of drugs, etc.";"Bornholm";2;4;3;2;2;4;2;1;1;4;5;5;4;1
"Trafficking of drugs, etc.";"Christians�";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Trafficking of drugs, etc.";"Region Sj�lland";18;16;22;17;17;23;18;21;12;29;29;21;31;43
"Trafficking of drugs, etc.";"Greve";0;0;1;0;0;1;1;1;0;0;0;2;6;6
"Trafficking of drugs, etc.";"K�ge";5;2;0;0;1;2;1;2;1;0;2;0;1;4
"Trafficking of drugs, etc.";"Lejre";0;0;1;0;0;0;0;0;0;0;2;0;1;0
"Trafficking of drugs, etc.";"Roskilde";0;2;0;1;5;2;2;0;1;0;2;3;3;2
"Trafficking of drugs, etc.";"Solr�d";0;0;0;0;0;2;2;2;0;0;2;1;2;0
"Trafficking of drugs, etc.";"Faxe";1;0;1;1;0;3;0;0;2;0;0;2;0;2
"Trafficking of drugs, etc.";"Guldborgsund";3;1;1;2;4;2;1;4;5;7;3;1;3;5
"Trafficking of drugs, etc.";"Holb�k";4;1;1;0;1;0;0;0;1;1;0;0;1;6
"Trafficking of drugs, etc.";"Kalundborg";1;1;1;5;1;0;2;2;1;0;3;0;1;0
"Trafficking of drugs, etc.";"Lolland";1;0;0;1;0;0;0;0;0;1;1;1;3;1
"Trafficking of drugs, etc.";"N�stved";0;2;6;1;3;4;2;3;0;4;5;5;2;7
"Trafficking of drugs, etc.";"Odsherred";2;0;0;1;0;1;0;1;0;1;1;0;0;1
"Trafficking of drugs, etc.";"Ringsted";0;0;1;0;0;1;0;0;0;1;0;0;1;1
"Trafficking of drugs, etc.";"Slagelse";1;4;4;4;1;4;6;5;0;2;6;3;5;4
"Trafficking of drugs, etc.";"Sor�";0;2;4;1;0;1;0;0;1;1;1;0;2;4
"Trafficking of drugs, etc.";"Stevns";0;0;0;0;0;0;1;0;0;1;0;0;0;0
"Trafficking of drugs, etc.";"Vordingborg";0;1;1;0;1;0;0;1;0;10;1;3;0;0
"Trafficking of drugs, etc.";"Region Syddanmark";87;77;44;59;36;40;39;25;54;50;58;39;46;38
"Trafficking of drugs, etc.";"Assens";14;4;0;1;0;0;1;0;0;3;2;1;0;0
"Trafficking of drugs, etc.";"Faaborg-Midtfyn";7;20;5;1;0;0;0;0;1;0;1;0;0;2
"Trafficking of drugs, etc.";"Kerteminde";0;0;1;0;0;0;1;2;1;2;0;2;1;0
"Trafficking of drugs, etc.";"Langeland";0;0;0;0;1;1;0;0;1;3;0;0;1;0
"Trafficking of drugs, etc.";"Middelfart";13;0;1;1;1;0;0;3;3;0;1;1;0;0
"Trafficking of drugs, etc.";"Nordfyns";1;0;0;2;0;1;1;0;2;0;0;2;1;0
"Trafficking of drugs, etc.";"Nyborg";0;1;0;0;0;4;1;3;0;0;0;2;1;2
"Trafficking of drugs, etc.";"Odense";10;5;9;2;5;5;5;1;10;3;14;5;7;9
"Trafficking of drugs, etc.";"Svendborg";4;0;1;4;2;3;1;0;4;4;0;1;2;6
"Trafficking of drugs, etc.";"�r�";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Trafficking of drugs, etc.";"Billund";0;0;0;0;0;0;1;1;0;2;2;0;2;2
"Trafficking of drugs, etc.";"Esbjerg";9;15;2;19;6;1;7;5;5;9;4;5;3;4
"Trafficking of drugs, etc.";"Fan�";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Trafficking of drugs, etc.";"Fredericia";7;7;7;1;5;7;5;2;3;3;2;4;3;2
"Trafficking of drugs, etc.";"Haderslev";2;0;0;0;1;0;2;1;0;6;3;2;3;3
"Trafficking of drugs, etc.";"Kolding";1;3;5;8;2;3;0;2;2;6;7;1;8;2
"Trafficking of drugs, etc.";"S�nderborg";2;7;4;2;0;5;3;1;7;2;5;2;13;2
"Trafficking of drugs, etc.";"T�nder";4;3;0;5;1;0;1;0;2;0;0;2;0;2
"Trafficking of drugs, etc.";"Varde";2;0;2;1;4;1;1;0;2;0;3;0;0;1
"Trafficking of drugs, etc.";"Vejen";2;1;0;6;4;1;3;0;2;1;1;2;0;0
"Trafficking of drugs, etc.";"Vejle";2;8;5;3;4;5;4;3;5;5;6;5;0;1
"Trafficking of drugs, etc.";"Aabenraa";7;3;2;3;0;3;2;1;4;1;7;2;1;0
"Trafficking of drugs, etc.";"Region Midtjylland";45;47;38;32;28;34;30;29;43;51;58;33;59;47
"Trafficking of drugs, etc.";"Favrskov";0;3;0;1;1;1;0;1;1;0;0;2;2;1
"Trafficking of drugs, etc.";"Hedensted";0;0;0;0;0;0;2;1;1;1;2;2;2;0
"Trafficking of drugs, etc.";"Horsens";3;2;11;3;2;3;1;3;6;5;12;3;4;1
"Trafficking of drugs, etc.";"Norddjurs";3;3;0;5;2;0;1;0;1;1;1;3;1;0
"Trafficking of drugs, etc.";"Odder";0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Trafficking of drugs, etc.";"Randers";4;9;6;2;2;6;2;2;2;5;9;2;8;7
"Trafficking of drugs, etc.";"Sams�";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Trafficking of drugs, etc.";"Silkeborg";1;2;2;1;5;4;1;3;6;4;2;2;0;2
"Trafficking of drugs, etc.";"Skanderborg";1;3;0;5;0;0;2;0;0;1;1;0;4;2
"Trafficking of drugs, etc.";"Syddjurs";1;2;0;1;0;0;1;1;2;1;3;0;1;0
"Trafficking of drugs, etc.";"Aarhus";16;14;7;11;9;2;11;10;9;13;13;10;14;16
"Trafficking of drugs, etc.";"Herning";4;1;7;0;1;11;3;1;2;2;2;1;3;1
"Trafficking of drugs, etc.";"Holstebro";1;1;2;0;0;2;2;1;1;0;4;5;1;3
"Trafficking of drugs, etc.";"Ikast-Brande";0;1;0;1;1;0;0;1;2;3;1;0;2;0
"Trafficking of drugs, etc.";"Lemvig";1;0;0;0;0;0;0;0;0;0;1;0;0;0
"Trafficking of drugs, etc.";"Ringk�bing-Skjern";0;2;0;0;3;1;0;0;2;2;0;0;0;2
"Trafficking of drugs, etc.";"Skive";0;1;1;0;0;0;0;1;1;7;0;1;6;3
"Trafficking of drugs, etc.";"Struer";0;1;0;0;0;3;0;2;1;0;0;0;0;1
"Trafficking of drugs, etc.";"Viborg";10;2;2;2;2;1;4;2;6;6;7;1;11;8
"Trafficking of drugs, etc.";"Region Nordjylland";13;10;17;38;13;7;16;19;23;23;17;16;22;35
"Trafficking of drugs, etc.";"Br�nderslev";1;0;0;0;0;0;0;1;1;1;2;1;0;3
"Trafficking of drugs, etc.";"Frederikshavn";0;1;2;11;4;0;0;0;0;1;0;4;2;1
"Trafficking of drugs, etc.";"Hj�rring";1;1;3;1;2;0;0;1;2;1;3;0;5;4
"Trafficking of drugs, etc.";"Jammerbugt";0;0;1;2;0;2;1;2;3;2;0;0;1;3
"Trafficking of drugs, etc.";"L�s�";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Trafficking of drugs, etc.";"Mariagerfjord";1;0;2;2;0;0;0;2;0;3;0;2;0;0
"Trafficking of drugs, etc.";"Mors�";2;2;1;2;0;0;0;0;1;1;0;2;0;0
"Trafficking of drugs, etc.";"Rebild";0;0;0;2;0;0;3;0;1;0;0;0;0;0
"Trafficking of drugs, etc.";"Thisted";0;1;0;0;0;1;2;0;6;3;4;1;3;2
"Trafficking of drugs, etc.";"Vesthimmerlands";1;1;1;1;1;1;0;1;2;0;0;0;3;2
"Trafficking of drugs, etc.";"Aalborg";7;4;7;17;6;3;10;12;7;11;8;6;8;20
"Trafficking of drugs, etc.";"Unknown municipality";25;6;13;12;10;19;19;20;23;15;41;61;39;50
"The Offensive Weapons Act";"All Denmark";1566;1659;1774;1708;1795;2185;2638;2142;4683;3434;3000;2414;2053;2757
"The Offensive Weapons Act";"Region Hovedstaden";436;492;640;755;801;785;838;719;1219;1059;964;807;706;755
"The Offensive Weapons Act";"Copenhagen";234;253;362;371;403;408;404;304;446;460;411;347;325;322
"The Offensive Weapons Act";"Frederiksberg";13;12;22;18;17;17;19;28;35;16;37;16;24;27
"The Offensive Weapons Act";"Drag�r";5;2;5;0;4;2;3;3;4;7;6;3;2;8
"The Offensive Weapons Act";"T�rnby";25;24;24;56;39;29;37;41;50;41;24;28;37;50
"The Offensive Weapons Act";"Albertslund";8;6;6;15;6;12;17;22;22;19;20;18;7;10
"The Offensive Weapons Act";"Ballerup";18;12;29;30;29;13;27;30;46;31;38;25;18;26
"The Offensive Weapons Act";"Br�ndby";10;22;14;19;24;44;24;19;26;29;32;20;24;10
"The Offensive Weapons Act";"Gentofte";6;6;5;8;12;6;15;9;19;14;12;15;9;7
"The Offensive Weapons Act";"Gladsaxe";9;10;14;51;34;14;26;38;55;36;20;23;23;12
"The Offensive Weapons Act";"Glostrup";9;12;17;13;25;15;22;14;39;37;19;27;6;24
"The Offensive Weapons Act";"Herlev";4;9;5;15;18;18;10;12;28;15;14;15;7;9
"The Offensive Weapons Act";"Hvidovre";13;11;24;15;30;22;38;30;38;39;33;23;19;13
"The Offensive Weapons Act";"H�je-Taastrup";12;12;24;23;13;21;18;26;31;30;28;41;21;26
"The Offensive Weapons Act";"Ish�j";6;7;5;9;13;8;8;5;33;29;14;16;13;12
"The Offensive Weapons Act";"Lyngby-Taarb�k";5;9;5;4;7;7;12;7;19;9;13;8;9;10
"The Offensive Weapons Act";"R�dovre";7;13;25;16;14;16;21;24;35;39;41;20;13;21
"The Offensive Weapons Act";"Vallensb�k";2;2;1;1;10;5;5;3;6;3;5;4;3;3
"The Offensive Weapons Act";"Aller�d";1;1;2;2;2;5;7;5;13;6;5;4;3;3
"The Offensive Weapons Act";"Egedal";0;6;6;2;2;14;13;14;15;14;13;11;9;5
"The Offensive Weapons Act";"Fredensborg";2;5;3;11;5;12;7;9;16;21;12;19;8;11
"The Offensive Weapons Act";"Frederikssund";4;9;8;2;14;15;24;9;44;23;29;14;17;12
"The Offensive Weapons Act";"Fures�";4;0;2;4;2;6;9;6;14;11;6;8;6;16
"The Offensive Weapons Act";"Gribskov";3;4;4;4;9;6;11;5;28;20;21;17;18;14
"The Offensive Weapons Act";"Halsn�s";2;6;4;9;14;5;7;11;39;13;22;13;18;13
"The Offensive Weapons Act";"Helsing�r";14;14;7;21;24;24;21;19;43;36;21;22;15;22
"The Offensive Weapons Act";"Hiller�d";4;9;6;19;11;23;17;9;23;21;15;24;19;19
"The Offensive Weapons Act";"H�rsholm";2;1;2;6;1;3;3;2;11;6;10;6;4;15
"The Offensive Weapons Act";"Rudersdal";3;6;5;1;5;3;6;3;14;15;18;9;11;15
"The Offensive Weapons Act";"Bornholm";11;9;4;10;14;12;7;12;27;19;25;11;18;20
"The Offensive Weapons Act";"Christians�";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"The Offensive Weapons Act";"Region Sj�lland";228;260;287;203;200;199;303;322;758;682;477;405;273;383
"The Offensive Weapons Act";"Greve";12;8;21;15;13;14;15;13;24;31;28;17;15;20
"The Offensive Weapons Act";"K�ge";17;21;18;28;17;20;27;32;42;40;34;33;14;28
"The Offensive Weapons Act";"Lejre";1;8;7;4;3;5;4;4;14;32;10;15;6;13
"The Offensive Weapons Act";"Roskilde";27;21;31;14;27;18;35;24;55;63;32;39;34;32
"The Offensive Weapons Act";"Solr�d";1;6;7;2;2;3;3;4;13;11;10;8;2;4
"The Offensive Weapons Act";"Faxe";14;5;6;8;6;17;3;11;31;19;23;20;9;15
"The Offensive Weapons Act";"Guldborgsund";30;25;36;26;32;16;22;32;83;65;46;33;22;40
"The Offensive Weapons Act";"Holb�k";7;31;24;18;20;16;20;41;85;81;53;52;27;23
"The Offensive Weapons Act";"Kalundborg";5;16;14;11;10;5;15;14;43;77;25;12;12;18
"The Offensive Weapons Act";"Lolland";15;23;16;10;18;12;31;46;76;47;34;36;29;33
"The Offensive Weapons Act";"N�stved";20;21;23;24;17;19;37;31;69;37;44;31;34;30
"The Offensive Weapons Act";"Odsherred";10;17;12;3;5;9;12;6;27;34;25;18;10;21
"The Offensive Weapons Act";"Ringsted";12;12;10;7;5;9;23;11;51;25;20;15;13;16
