"country";"offences";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Denmark";"Trafic law, total";84286;86418;87645;89961;91733;88240;83669;82055;76433;71123;75301;95963;91214;77922
"Denmark";"Traffic acc., unspecified";12;12;24;29;36;37;17;37;17;12;9;19;19;22
"Denmark";"Traffic acc. under influence of alcohol";1157;1067;969;1047;904;834;762;766;694;645;637;697;702;699
"Denmark";"Drunken driving";6267;6358;6304;7383;6578;6031;5352;4711;3812;5026;4944;4989;4462;4355
"Denmark";"Vehicle defect offences";5553;4836;5678;5357;3449;3254;2359;1681;1903;1683;2309;2908;2869;2459
"Denmark";"Road Traffic Act, other";71297;74145;74670;76145;80766;78084;75179;74860;70007;63757;67402;87350;83162;70387
"Denmark";"Special laws, total";16119;17672;26963;31317;29823;35808;35049;33662;30687;33701;39653;31031;29059;37624
"Denmark";"Euphoriants Act";7452;7336;8740;9631;9564;10626;9012;7494;7022;9018;9842;8570;7330;7973
"Denmark";"Firearms Act";1820;1640;1683;1437;1384;1389;1304;1434;1704;3031;5591;3545;2494;1690
"Denmark";"Income Tax And Fiscal Acts";143;209;228;683;1145;1227;882;707;724;760;988;1454;1489;1322
"Denmark";"Other special laws.";1749;2478;8901;11206;10009;15007;17338;16301;13248;13038;15639;9801;10396;18143
"Denmark";"Health and social security legislation";436;477;453;414;322;270;253;270;333;435;425;1266;2367;793
"Denmark";"Building and housing legislation";33;32;29;28;31;33;19;21;25;11;14;23;25;30
"Denmark";"Environmental Act";649;747;928;973;963;1052;888;659;597;1082;1103;1433;1393;1537
"Denmark";"Other legislation applying to animals, hunting, etc";1593;2310;3209;3230;2666;2194;1857;1511;1440;1550;1687;1740;1654;1575
"Denmark";"Employ. and transport legislation, other";1134;1319;1657;1784;1195;1605;1528;1424;1090;1148;1401;1624;1108;1315
"Denmark";"Companies Act";40;62;84;201;286;175;111;298;132;47;129;275;278;509
"Denmark";"Other legislation applying to the Armed Forces";479;441;320;412;1073;1108;1011;2934;3772;2992;2182;801;222;2217
"Denmark";"Legislation applying to public utilities";138;125;103;180;67;79;52;31;46;43;34;42;22;28
"Denmark";"Other legislation relating to gambling, licencing, trade";426;466;607;1051;1085;904;748;539;503;484;552;388;230;463
"Denmark";"Other special laws";27;30;21;87;33;139;46;39;51;62;66;69;51;29
"Belgium";"Criminal decisions total";15;22;17;24;31;22;27;32;20;24;23;36;34;40
"Belgium";"Criminal code, total";1;3;5;3;4;3;6;2;3;2;2;1;0;7
"Belgium";"Sexual offenses, total";0;0;0;0;1;0;1;0;1;0;0;0;0;0
"Belgium";"Incest, etc.";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Belgium";"Rape, etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Heterosexual offences with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Sexual offence against child under 12 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Heterosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Sexual offence against child under 15 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Sexual offence, other (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Homosexual offences, with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Homosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Offences against decency, by  pawing";0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Belgium";"Offences against decency, by removing clothes";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Belgium";"Offences against decency, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Prostitution, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Crimes of violence, total";0;0;1;1;1;0;2;0;1;0;1;0;0;4
"Belgium";"Assault against public servant while in discharge of his duties";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Disturbance of public order";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Homicide";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Attempted homicide";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Belgium";"Coercive control etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Common assault";0;0;1;1;1;0;1;0;0;0;1;0;0;4
"Belgium";"Grievous assault";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Particularly grievous assault";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Assault, unprovoked";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Intentional bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Homicide by negligence/bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Other offences against life and limb";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Offences against personal liberty";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Threats";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Belgium";"Offenses against property, total";1;2;4;2;2;3;3;2;1;2;1;1;0;3
"Belgium";"Forgery";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Cheque forgery";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Arson";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Burglary (banks, shops, etc.)";0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Household burglary";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Burglary (uninhabited buildings)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Theft from cars, boats, etc.";0;0;0;0;0;0;0;0;0;1;0;0;0;0
"Belgium";"Shoplifting, etc.";0;2;3;2;1;2;3;2;1;0;1;1;0;2
"Belgium";"Other theft";1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Theft of vehicle";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Theft of mopeds";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Theft of bicycles";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Theft of other objects";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Larceny by finding";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Embezzlement";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Belgium";"Fraud";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Fraud by cheque";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Fraud of agent";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Blackmail and usury";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Fraud against creditors";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Handling stolen goods";0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Belgium";"Robbery";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Gross tax evasion, etc.";0;0;0;0;1;0;0;0;0;1;0;0;0;0
"Belgium";"Malicious damage to property";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Feloniously receiving stolen goods";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Misappropriations and offences against property";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Other offences, total";0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Offences against public authority, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Offences by public servants";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Perjury";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Perjury, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Offences concerning money and evidence";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Trafficking of drugs, etc.";0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Smuggling, etc. of drugs";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"General public offences";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Illegal trade, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Family relation offences";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Homicide by negligence in traffic accidents";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Warnings";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Privacy infringement, defamation";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Trafic law, total";13;18;13;16;24;15;18;25;13;18;14;27;26;24
"Belgium";"Traffic acc., unspecified";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Traffic acc. under influence of alcohol";0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Belgium";"Drunken driving";0;0;1;0;2;0;2;1;0;0;0;2;1;2
"Belgium";"Vehicle defect offences";0;0;0;0;0;1;0;0;0;0;0;0;1;1
"Belgium";"Road Traffic Act, other";13;18;12;16;22;13;16;24;13;18;14;25;24;21
"Belgium";"Special laws, total";2;1;0;5;3;5;4;5;4;5;7;10;9;12
"Belgium";"Euphoriants Act";1;1;0;0;0;2;1;0;0;3;3;4;3;1
"Belgium";"Firearms Act";1;0;0;0;0;0;0;0;0;0;0;2;0;2
"Belgium";"Income Tax And Fiscal Acts";0;0;0;0;1;2;0;0;0;0;0;2;0;1
"Belgium";"Other special laws.";0;0;0;4;0;0;1;2;2;1;4;1;3;5
"Belgium";"Health and social security legislation";0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Belgium";"Building and housing legislation";0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Belgium";"Environmental Act";0;0;0;0;0;0;0;0;0;0;0;0;1;2
"Belgium";"Other legislation applying to animals, hunting, etc";0;0;0;1;1;0;1;1;0;1;0;0;1;0
"Belgium";"Employ. and transport legislation, other";0;0;0;0;0;0;0;0;2;0;0;1;0;0
"Belgium";"Companies Act";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Other legislation applying to the Armed Forces";0;0;0;0;1;1;1;0;0;0;0;0;0;1
"Belgium";"Legislation applying to public utilities";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Belgium";"Other legislation relating to gambling, licencing, trade";0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Belgium";"Other special laws";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bosnia and Herzegovina";"Criminal decisions total";681;740;787;879;846;819;802;760;697;787;814;975;969;848
"Bosnia and Herzegovina";"Criminal code, total";250;281;301;259;252;257;219;197;165;206;173;184;193;162
"Bosnia and Herzegovina";"Sexual offenses, total";1;4;2;3;1;4;3;2;2;0;8;7;2;7
"Bosnia and Herzegovina";"Incest, etc.";0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Bosnia and Herzegovina";"Rape, etc";0;0;0;0;0;1;0;0;0;0;1;0;0;2
"Bosnia and Herzegovina";"Heterosexual offences with children under 12 years";0;1;0;0;1;0;0;0;0;0;0;0;0;0
"Bosnia and Herzegovina";"Sexual offence against child under 12 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bosnia and Herzegovina";"Heterosexual offences, other";0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Bosnia and Herzegovina";"Sexual offence against child under 15 years (New from 2013)";0;0;0;0;0;1;1;0;0;0;0;0;0;0
"Bosnia and Herzegovina";"Sexual offence, other (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Bosnia and Herzegovina";"Homosexual offences, with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bosnia and Herzegovina";"Homosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bosnia and Herzegovina";"Offences against decency, by  pawing";0;1;1;0;0;0;2;1;1;0;1;1;0;0
