"country";"offences";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Turkey";"Shoplifting, etc.";107;109;114;118;115;126;119;104;80;88;88;85;95;97
"Turkey";"Other theft";59;68;61;51;63;65;49;46;27;24;24;34;24;27
"Turkey";"Theft of vehicle";13;22;17;9;19;10;10;12;11;16;12;9;15;9
"Turkey";"Theft of mopeds";3;4;6;9;1;1;3;0;0;2;1;0;1;2
"Turkey";"Theft of bicycles";6;5;2;4;2;7;3;0;0;3;3;3;4;2
"Turkey";"Theft of other objects";5;8;7;12;6;7;3;9;9;7;5;1;5;3
"Turkey";"Larceny by finding";9;4;7;10;11;15;6;4;6;2;3;7;5;3
"Turkey";"Embezzlement";2;0;3;2;5;2;2;3;1;2;1;5;2;1
"Turkey";"Fraud";26;26;43;41;48;44;37;50;47;27;40;32;50;41
"Turkey";"Fraud by cheque";0;2;0;0;0;0;0;0;0;0;0;0;0;0
"Turkey";"Fraud of agent";2;1;1;1;0;1;0;1;0;0;1;0;2;1
"Turkey";"Blackmail and usury";0;4;2;2;2;1;0;2;4;3;3;8;1;6
"Turkey";"Fraud against creditors";1;0;2;3;1;0;0;0;0;0;0;0;0;0
"Turkey";"Handling stolen goods";15;21;26;21;20;20;11;19;19;6;5;7;27;16
"Turkey";"Robbery";43;53;47;44;29;12;23;11;9;12;9;15;18;4
"Turkey";"Gross tax evasion, etc.";0;0;1;0;5;4;2;3;4;2;6;3;2;2
"Turkey";"Malicious damage to property";23;27;31;35;26;19;18;18;20;19;16;21;17;17
"Turkey";"Feloniously receiving stolen goods";2;4;0;1;0;0;0;0;1;1;0;1;0;0
"Turkey";"Misappropriations and offences against property";2;5;4;1;6;7;14;10;12;11;13;13;12;13
"Turkey";"Other offences, total";80;108;122;130;128;111;124;106;103;110;87;96;88;119
"Turkey";"Offences against public authority, etc.";30;37;36;47;47;30;43;36;27;35;27;46;30;47
"Turkey";"Offences by public servants";0;0;0;0;1;0;1;0;1;1;0;0;0;0
"Turkey";"Perjury";1;2;0;0;4;2;5;0;0;1;0;0;0;0
"Turkey";"Perjury, other";17;29;35;30;37;33;32;28;33;28;15;18;20;21
"Turkey";"Offences concerning money and evidence";1;0;4;3;6;4;3;3;1;1;1;1;0;2
"Turkey";"Trafficking of drugs, etc.";3;3;6;3;13;12;13;7;17;17;12;12;13;20
"Turkey";"Smuggling, etc. of drugs";0;4;3;2;2;3;3;5;0;3;3;2;7;0
"Turkey";"General public offences";12;13;11;12;8;5;5;13;7;13;5;5;5;5
"Turkey";"Illegal trade, etc.";0;3;0;0;0;0;0;0;0;0;0;0;0;0
"Turkey";"Family relation offences";1;0;0;0;0;1;0;1;1;0;0;0;0;0
"Turkey";"Homicide by negligence in traffic accidents";2;1;0;5;1;2;4;3;2;3;3;1;3;9
"Turkey";"Warnings";5;3;4;2;1;0;0;0;0;0;0;0;0;0
"Turkey";"Privacy infringement, defamation";8;13;23;26;8;19;15;10;14;8;21;11;10;15
"Turkey";"Trafic law, total";2680;2960;2875;3369;3205;3355;3226;2825;2708;3036;3279;4321;3995;3539
"Turkey";"Traffic acc., unspecified";0;0;0;0;2;0;2;0;0;2;0;1;1;0
"Turkey";"Traffic acc. under influence of alcohol";6;12;5;11;8;8;7;5;9;4;8;5;6;4
"Turkey";"Drunken driving";88;87;104;154;142;134;128;107;66;164;141;142;119;144
"Turkey";"Vehicle defect offences";152;131;147;104;70;79;50;29;45;32;41;29;47;25
"Turkey";"Road Traffic Act, other";2434;2730;2619;3100;2983;3134;3039;2684;2588;2834;3089;4144;3822;3366
"Turkey";"Special laws, total";590;626;773;909;946;1086;1010;1073;1205;1258;1378;1296;1227;1187
"Turkey";"Euphoriants Act";287;262;267;296;345;360;312;299;300;420;443;443;394;373
"Turkey";"Firearms Act";77;64;60;75;89;78;73;78;50;76;107;87;78;57
"Turkey";"Income Tax And Fiscal Acts";13;13;73;60;70;57;46;37;36;33;34;70;73;63
"Turkey";"Other special laws.";58;53;135;235;240;329;386;360;381;350;409;270;264;411
"Turkey";"Health and social security legislation";20;28;41;22;32;31;24;29;24;25;22;127;277;41
"Turkey";"Building and housing legislation";0;0;0;0;0;1;2;1;1;1;0;0;1;0
"Turkey";"Environmental Act";2;10;5;17;9;17;11;8;12;24;20;22;26;31
"Turkey";"Other legislation applying to animals, hunting, etc";8;17;14;14;5;8;3;7;5;10;5;6;11;14
"Turkey";"Employ. and transport legislation, other";76;126;129;122;96;145;92;156;269;204;263;225;85;134
"Turkey";"Companies Act";0;5;4;5;2;0;2;6;3;4;2;12;10;19
"Turkey";"Other legislation applying to the Armed Forces";15;16;8;5;23;28;23;72;105;89;53;18;1;38
"Turkey";"Legislation applying to public utilities";1;2;0;3;2;0;0;0;2;4;1;1;0;0
"Turkey";"Other legislation relating to gambling, licencing, trade";32;30;36;53;32;32;35;19;15;17;14;13;3;5
"Turkey";"Other special laws";1;0;1;2;1;0;1;1;2;1;5;2;4;1
"Germany";"Criminal decisions total";508;559;574;576;578;582;567;551;557;546;623;656;689;661
"Germany";"Criminal code, total";92;90;93;98;82;85;85;60;59;58;64;56;71;67
"Germany";"Sexual offenses, total";4;5;3;4;5;4;4;3;2;3;6;4;7;4
"Germany";"Incest, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Germany";"Rape, etc";0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Germany";"Heterosexual offences with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Germany";"Sexual offence against child under 12 years (New from 2013)";0;0;0;0;0;1;1;0;0;0;0;0;0;0
"Germany";"Heterosexual offences, other";1;1;2;0;0;0;0;0;0;0;0;0;0;0
"Germany";"Sexual offence against child under 15 years (New from 2013)";0;0;0;0;0;0;0;0;1;0;0;2;1;0
"Germany";"Sexual offence, other (New from 2013)";0;0;0;0;0;1;0;1;0;0;0;0;0;0
"Germany";"Homosexual offences, with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Germany";"Homosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Germany";"Offences against decency, by  pawing";1;0;0;1;1;0;1;1;0;2;1;0;0;0
"Germany";"Offences against decency, by removing clothes";0;2;1;1;2;0;1;1;0;0;3;0;1;1
"Germany";"Offences against decency, other";0;1;0;1;1;0;1;0;1;1;1;1;3;2
"Germany";"Prostitution, etc.";2;1;0;1;1;2;0;0;0;0;0;1;2;1
"Germany";"Crimes of violence, total";13;25;20;17;15;14;17;16;13;14;12;11;21;9
"Germany";"Assault against public servant while in discharge of his duties";1;7;4;2;4;3;4;3;3;2;0;3;5;3
"Germany";"Disturbance of public order";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Germany";"Homicide";2;0;0;0;0;0;0;0;0;0;0;0;0;0
"Germany";"Attempted homicide";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Germany";"Coercive control etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Germany";"Common assault";9;12;7;10;6;11;9;11;6;4;8;5;11;3
"Germany";"Grievous assault";0;3;3;1;2;0;2;0;3;7;0;0;2;1
"Germany";"Particularly grievous assault";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Germany";"Assault, unprovoked";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Germany";"Intentional bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Germany";"Homicide by negligence/bodily harm";0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Germany";"Other offences against life and limb";0;1;1;0;1;0;0;0;0;0;0;1;0;1
"Germany";"Offences against personal liberty";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Germany";"Threats";1;2;5;3;2;0;2;2;1;1;4;2;3;1
"Germany";"Offenses against property, total";71;56;65;72;59;63;59;41;38;40;37;40;36;46
"Germany";"Forgery";2;2;0;1;0;0;3;1;0;0;1;0;1;2
"Germany";"Cheque forgery";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Germany";"Arson";1;0;0;0;0;1;0;0;0;3;0;1;0;0
"Germany";"Burglary (banks, shops, etc.)";3;1;4;1;1;2;2;0;1;0;1;1;0;1
"Germany";"Household burglary";2;0;0;0;0;1;2;0;1;0;0;0;1;1
"Germany";"Burglary (uninhabited buildings)";0;1;1;0;0;0;1;0;0;0;0;2;0;1
"Germany";"Theft from cars, boats, etc.";0;2;0;1;0;1;0;0;1;0;1;0;1;0
"Germany";"Shoplifting, etc.";41;28;29;33;26;35;29;20;15;22;21;20;20;22
"Germany";"Other theft";5;8;7;10;9;7;8;3;3;4;3;9;4;5
"Germany";"Theft of vehicle";0;3;0;1;0;2;1;0;0;1;0;1;0;0
"Germany";"Theft of mopeds";0;0;0;0;0;1;1;0;0;0;0;0;0;0
"Germany";"Theft of bicycles";0;1;1;2;1;1;0;0;0;0;1;0;0;0
"Germany";"Theft of other objects";0;0;2;0;1;0;0;1;1;0;1;0;0;0
"Germany";"Larceny by finding";0;0;2;0;1;0;2;1;0;1;0;0;2;2
"Germany";"Embezzlement";1;0;1;1;0;0;0;1;0;0;0;2;0;0
"Germany";"Fraud";3;2;5;5;5;7;6;3;6;4;4;1;4;3
"Germany";"Fraud by cheque";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Germany";"Fraud of agent";0;0;2;1;1;0;0;0;0;1;0;0;0;0
"Germany";"Blackmail and usury";0;0;0;0;0;0;0;0;0;0;0;1;1;0
"Germany";"Fraud against creditors";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Germany";"Handling stolen goods";3;2;3;5;4;1;1;5;1;0;0;0;0;2
"Germany";"Robbery";2;2;0;0;0;1;0;1;2;2;0;1;0;2
"Germany";"Gross tax evasion, etc.";0;0;1;3;0;0;0;0;0;0;0;0;0;0
"Germany";"Malicious damage to property";8;4;7;8;9;2;1;4;4;1;2;1;2;2
"Germany";"Feloniously receiving stolen goods";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Germany";"Misappropriations and offences against property";0;0;0;0;1;1;2;1;3;1;2;0;0;2
"Germany";"Other offences, total";7;4;10;5;5;7;8;2;9;4;9;3;7;10
"Germany";"Offences against public authority, etc.";0;1;2;1;0;3;3;1;1;2;1;1;2;4
"Germany";"Offences by public servants";0;0;1;0;0;0;0;0;0;0;1;0;0;0
"Germany";"Perjury";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Germany";"Perjury, other";0;1;1;1;0;0;2;0;3;0;2;0;1;0
"Germany";"Offences concerning money and evidence";0;0;2;1;0;0;0;0;0;0;0;0;0;2
"Germany";"Trafficking of drugs, etc.";2;0;1;1;0;1;1;0;3;0;1;0;0;0
"Germany";"Smuggling, etc. of drugs";0;0;0;0;2;0;0;0;1;0;0;0;0;0
"Germany";"General public offences";0;0;0;0;0;0;0;0;0;2;0;0;0;0
"Germany";"Illegal trade, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Germany";"Family relation offences";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Germany";"Homicide by negligence in traffic accidents";0;0;1;0;0;2;0;1;0;0;1;0;2;0
"Germany";"Warnings";0;1;0;1;0;1;0;0;0;0;0;0;0;0
"Germany";"Privacy infringement, defamation";5;1;2;0;3;0;2;0;1;0;3;2;2;4
"Germany";"Trafic law, total";353;426;414;377;416;399;358;353;388;373;390;465;476;442
"Germany";"Traffic acc., unspecified";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Germany";"Traffic acc. under influence of alcohol";6;10;12;8;5;5;6;3;6;3;5;3;3;4
"Germany";"Drunken driving";26;35;34;34;24;20;22;19;15;26;23;23;28;25
"Germany";"Vehicle defect offences";11;9;18;19;12;9;9;4;12;9;4;8;8;11
"Germany";"Road Traffic Act, other";310;372;350;316;375;364;321;327;355;335;358;431;437;401
"Germany";"Special laws, total";69;57;83;125;99;119;149;160;134;132;197;155;162;178
"Germany";"Euphoriants Act";22;16;18;29;23;28;27;25;31;29;31;37;36;33
"Germany";"Firearms Act";13;4;3;7;2;3;8;5;6;17;21;12;11;12
"Germany";"Income Tax And Fiscal Acts";0;0;3;4;14;6;2;4;1;3;3;9;6;5
"Germany";"Other special laws.";8;17;25;37;26;50;81;93;60;59;93;49;63;91
"Germany";"Health and social security legislation";3;0;1;2;1;3;3;1;3;2;6;8;22;5
"Germany";"Building and housing legislation";0;0;0;1;0;2;0;1;0;0;1;0;1;0
"Germany";"Environmental Act";1;1;5;6;4;3;1;4;2;2;4;6;6;4
"Germany";"Other legislation applying to animals, hunting, etc";13;15;22;18;20;10;16;15;14;12;18;19;12;14
"Germany";"Employ. and transport legislation, other";6;3;4;11;6;10;6;3;7;3;13;13;3;5
"Germany";"Companies Act";0;0;0;2;1;0;0;1;0;0;0;0;0;2
"Germany";"Other legislation applying to the Armed Forces";1;0;1;1;0;1;1;5;8;4;4;0;0;7
"Germany";"Legislation applying to public utilities";0;1;0;1;0;0;0;0;1;0;1;1;0;0
"Germany";"Other legislation relating to gambling, licencing, trade";1;0;1;6;2;2;4;3;1;1;1;1;1;0
"Germany";"Other special laws";1;0;0;0;0;1;0;0;0;0;1;0;1;0
"Ukraine";"Criminal decisions total";256;225;209;210;217;272;271;249;302;271;337;421;412;478
"Ukraine";"Criminal code, total";72;66;46;47;29;32;42;38;33;31;35;38;30;77
"Ukraine";"Sexual offenses, total";2;0;0;0;0;0;0;0;1;0;1;0;0;0
"Ukraine";"Incest, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Rape, etc";2;0;0;0;0;0;0;0;1;0;0;0;0;0
"Ukraine";"Heterosexual offences with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Sexual offence against child under 12 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Heterosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Sexual offence against child under 15 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Sexual offence, other (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Homosexual offences, with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Homosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Offences against decency, by  pawing";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Offences against decency, by removing clothes";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Offences against decency, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Prostitution, etc.";0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Ukraine";"Crimes of violence, total";2;2;5;1;3;4;6;3;4;5;4;5;7;8
"Ukraine";"Assault against public servant while in discharge of his duties";0;1;2;1;0;0;0;0;0;1;0;2;1;1
"Ukraine";"Disturbance of public order";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Homicide";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Attempted homicide";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Coercive control etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Common assault";1;1;3;0;3;3;3;3;4;2;3;3;6;7
"Ukraine";"Grievous assault";0;0;0;0;0;0;3;0;0;1;0;0;0;0
"Ukraine";"Particularly grievous assault";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Assault, unprovoked";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Intentional bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Homicide by negligence/bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Other offences against life and limb";0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Ukraine";"Offences against personal liberty";1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Threats";0;0;0;0;0;1;0;0;0;1;0;0;0;0
"Ukraine";"Offenses against property, total";64;61;39;45;25;29;33;34;27;26;27;28;21;68
"Ukraine";"Forgery";0;3;3;3;0;0;1;1;1;1;0;0;1;2
"Ukraine";"Cheque forgery";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Arson";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Ukraine";"Burglary (banks, shops, etc.)";0;0;1;0;0;0;0;0;0;0;1;0;1;0
"Ukraine";"Household burglary";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Burglary (uninhabited buildings)";0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Theft from cars, boats, etc.";1;0;0;0;0;0;1;0;0;0;0;0;0;0
"Ukraine";"Shoplifting, etc.";52;45;21;32;18;22;24;24;20;19;17;26;14;58
"Ukraine";"Other theft";6;1;7;4;3;1;4;1;2;2;5;0;3;3
"Ukraine";"Theft of vehicle";1;0;0;0;0;1;0;0;0;0;0;0;0;1
"Ukraine";"Theft of mopeds";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Theft of bicycles";0;3;2;1;0;1;0;2;0;0;0;0;0;1
"Ukraine";"Theft of other objects";0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Ukraine";"Larceny by finding";2;3;1;0;0;0;0;0;1;0;1;0;0;1
"Ukraine";"Embezzlement";0;0;1;0;0;0;0;0;0;0;1;0;0;0
"Ukraine";"Fraud";0;1;0;2;1;1;1;4;2;2;1;2;0;0
"Ukraine";"Fraud by cheque";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Fraud of agent";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Blackmail and usury";0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Ukraine";"Fraud against creditors";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Handling stolen goods";1;4;2;1;0;2;1;0;0;1;1;0;0;1
"Ukraine";"Robbery";0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Gross tax evasion, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Malicious damage to property";1;0;0;2;3;1;1;0;0;1;0;0;1;1
"Ukraine";"Feloniously receiving stolen goods";0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Ukraine";"Misappropriations and offences against property";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Other offences, total";4;3;2;2;1;0;4;1;2;1;3;5;2;3
"Ukraine";"Offences against public authority, etc.";3;0;0;0;0;0;0;0;2;0;0;3;1;1
"Ukraine";"Offences by public servants";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Perjury";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Perjury, other";0;1;2;1;1;0;2;0;0;0;1;0;0;1
"Ukraine";"Offences concerning money and evidence";0;1;0;0;0;0;0;0;0;0;0;0;0;1
"Ukraine";"Trafficking of drugs, etc.";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Ukraine";"Smuggling, etc. of drugs";0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Ukraine";"General public offences";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Illegal trade, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Family relation offences";1;0;0;0;0;0;0;0;0;0;1;0;0;0
"Ukraine";"Homicide by negligence in traffic accidents";0;1;0;1;0;0;0;1;0;0;0;1;1;0
"Ukraine";"Warnings";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Privacy infringement, defamation";0;0;0;0;0;0;1;0;0;1;1;0;0;0
"Ukraine";"Trafic law, total";173;150;142;145;157;196;194;181;236;190;255;333;323;344
"Ukraine";"Traffic acc., unspecified";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Traffic acc. under influence of alcohol";11;7;2;7;3;2;4;1;4;4;3;6;11;8
"Ukraine";"Drunken driving";64;44;34;31;21;23;22;14;22;13;21;16;19;17
"Ukraine";"Vehicle defect offences";2;2;3;5;5;2;7;2;3;0;5;2;5;1
"Ukraine";"Road Traffic Act, other";96;97;103;102;128;169;161;164;207;173;226;309;288;318
"Ukraine";"Special laws, total";21;16;28;27;39;49;44;33;45;55;63;60;72;64
"Ukraine";"Euphoriants Act";4;2;7;2;5;8;8;1;6;9;8;2;9;11
"Ukraine";"Firearms Act";5;3;3;7;2;2;2;4;5;6;15;4;10;7
"Ukraine";"Income Tax And Fiscal Acts";0;2;1;1;6;5;2;1;4;5;1;8;8;1
"Ukraine";"Other special laws.";6;2;11;12;21;23;27;18;20;25;28;36;22;34
"Ukraine";"Health and social security legislation";0;0;0;0;1;0;1;1;1;0;1;0;7;1
"Ukraine";"Building and housing legislation";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ukraine";"Environmental Act";0;0;1;0;1;3;0;0;1;2;1;1;4;1
"Ukraine";"Other legislation applying to animals, hunting, etc";5;6;2;4;2;4;3;7;4;7;6;6;9;5
"Ukraine";"Employ. and transport legislation, other";0;0;2;0;1;3;0;0;1;1;0;1;1;4
"Ukraine";"Companies Act";0;0;0;0;0;0;0;0;0;0;0;0;2;0
"Ukraine";"Other legislation applying to the Armed Forces";0;1;1;0;0;1;1;1;1;0;0;0;0;0
"Ukraine";"Legislation applying to public utilities";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Ukraine";"Other legislation relating to gambling, licencing, trade";1;0;0;1;0;0;0;0;1;0;2;2;0;0
"Ukraine";"Other special laws";0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Hungary";"Criminal decisions total";55;59;69;97;84;94;111;120;119;135;120;149;136;154
"Hungary";"Criminal code, total";14;9;14;23;16;15;23;14;15;14;9;11;14;16
"Hungary";"Sexual offenses, total";0;0;0;2;0;1;1;0;0;0;0;1;1;4
"Hungary";"Incest, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Rape, etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Heterosexual offences with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Sexual offence against child under 12 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Heterosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Sexual offence against child under 15 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Sexual offence, other (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Homosexual offences, with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Homosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Offences against decency, by  pawing";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Hungary";"Offences against decency, by removing clothes";0;0;0;0;0;0;0;0;0;0;0;0;1;1
"Hungary";"Offences against decency, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Prostitution, etc.";0;0;0;2;0;1;0;0;0;0;0;1;0;3
"Hungary";"Crimes of violence, total";2;1;2;4;4;1;4;0;4;4;4;1;2;4
"Hungary";"Assault against public servant while in discharge of his duties";1;1;1;1;3;1;0;0;1;1;2;0;1;0
"Hungary";"Disturbance of public order";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Homicide";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Attempted homicide";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Coercive control etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Common assault";1;0;0;2;1;0;3;0;3;2;2;0;1;0
"Hungary";"Grievous assault";0;0;1;1;0;0;1;0;0;1;0;0;0;2
"Hungary";"Particularly grievous assault";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Assault, unprovoked";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Intentional bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Homicide by negligence/bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Other offences against life and limb";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Offences against personal liberty";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Threats";0;0;0;0;0;0;0;0;0;0;0;1;0;2
"Hungary";"Offenses against property, total";10;9;11;17;11;13;17;13;10;10;6;8;12;7
"Hungary";"Forgery";1;0;0;0;0;1;0;0;0;0;1;0;1;0
"Hungary";"Cheque forgery";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Arson";0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Hungary";"Burglary (banks, shops, etc.)";0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Hungary";"Household burglary";0;0;0;1;0;1;0;0;0;0;0;0;0;0
"Hungary";"Burglary (uninhabited buildings)";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Hungary";"Theft from cars, boats, etc.";0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Hungary";"Shoplifting, etc.";7;6;9;13;8;9;10;8;7;6;5;7;7;4
"Hungary";"Other theft";1;1;1;1;1;0;4;2;2;1;0;1;1;2
"Hungary";"Theft of vehicle";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Theft of mopeds";0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Theft of bicycles";1;0;0;0;0;1;0;0;0;0;0;0;0;0
"Hungary";"Theft of other objects";0;0;0;0;0;0;0;0;0;1;0;0;0;0
"Hungary";"Larceny by finding";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Embezzlement";0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Hungary";"Fraud";0;0;1;0;0;1;3;0;0;0;0;0;2;1
"Hungary";"Fraud by cheque";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Fraud of agent";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Blackmail and usury";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Fraud against creditors";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Handling stolen goods";0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Hungary";"Robbery";0;1;0;0;1;0;0;1;0;0;0;0;0;0
"Hungary";"Gross tax evasion, etc.";0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Hungary";"Malicious damage to property";0;0;0;0;0;0;0;0;0;2;0;0;0;0
"Hungary";"Feloniously receiving stolen goods";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Misappropriations and offences against property";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Other offences, total";2;0;1;2;2;0;2;1;1;0;0;1;0;1
"Hungary";"Offences against public authority, etc.";1;0;1;1;2;0;2;0;0;0;0;0;0;0
"Hungary";"Offences by public servants";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Perjury";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Perjury, other";1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Offences concerning money and evidence";0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Hungary";"Trafficking of drugs, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Hungary";"Smuggling, etc. of drugs";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"General public offences";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Hungary";"Illegal trade, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
