"Persons guilty in crimes by type of offence, region and time"

" "," ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
" ","Bornholm",187,169,173,188,143,137,149,144,131,108
" ","Christiansø",0,0,0,0,0,0,0,0,0,0
" ","Region Sjælland",4225,3952,3771,3769,3113,3235,3378,3762,3156,3236
" ","Greve",221,254,219,205,183,177,167,181,151,186
" ","Køge",299,281,245,218,201,213,188,222,211,237
" ","Lejre",98,72,70,72,45,68,70,73,75,56
" ","Roskilde",359,366,338,299,246,277,256,284,279,288
" ","Solrød",79,66,46,71,41,47,66,54,54,64
" ","Faxe",178,134,159,177,114,126,135,135,149,135
" ","Guldborgsund",372,352,362,390,314,317,366,392,301,278
" ","Holbæk",332,339,279,273,232,253,232,305,229,234
" ","Kalundborg",278,241,205,226,167,193,181,215,169,185
" ","Lolland",314,299,269,311,306,292,298,321,229,247
" ","Næstved",431,375,364,403,305,277,316,356,320,306
" ","Odsherred",187,169,136,136,109,137,131,154,113,149
" ","Ringsted",146,126,155,157,118,113,128,125,99,114
" ","Slagelse",503,402,472,432,360,373,438,516,449,404
" ","Sorø",125,136,130,112,112,131,137,151,101,106
" ","Stevns",64,73,80,72,60,64,59,55,58,72
" ","Vordingborg",239,267,242,215,200,177,210,223,169,175
" ","Region Syddanmark",5951,5615,5261,5123,4679,4469,4291,4885,4749,4568
" ","Assens",155,116,125,123,121,107,122,136,145,143
" ","Faaborg-Midtfyn",176,204,174,193,144,168,129,158,135,119
" ","Kerteminde",99,110,67,79,42,68,69,81,64,62
" ","Langeland",43,44,39,47,41,40,33,54,47,35
" ","Middelfart",135,131,96,103,118,96,107,117,114,109
" ","Nordfyns",97,134,112,106,109,106,108,123,107,90
" ","Nyborg",175,143,133,142,111,111,88,110,113,102
" ","Odense",1238,1222,1096,1093,950,923,819,964,861,903
" ","Svendborg",313,319,298,254,208,218,194,228,201,203
" ","Ærø",19,18,13,12,15,9,11,10,11,11
" ","Billund",91,81,66,71,57,52,55,72,82,69
" ","Esbjerg",622,555,606,544,497,475,534,536,489,537
" ","Fanø",11,8,13,8,10,8,7,10,11,9
" ","Fredericia",318,272,249,251,278,225,245,256,310,243
" ","Haderslev",295,265,273,280,261,268,235,263,231,253
" ","Kolding",449,430,351,350,357,331,334,391,424,378
" ","Sønderborg",349,301,337,302,280,310,231,297,274,264
" ","Tønder",192,166,155,138,153,129,141,164,159,112
" ","Varde",200,162,156,167,149,142,141,147,146,170
" ","Vejen",190,186,170,142,146,120,100,124,108,136
" ","Vejle",495,461,478,448,402,344,373,428,508,442
" ","Aabenraa",289,287,254,270,230,219,215,216,209,178
" ","Region Midtjylland",5489,5018,4798,4382,4117,4125,4381,4704,4581,4751
" ","Favrskov",149,143,139,112,106,104,134,113,112,100
" ","Hedensted",127,136,103,120,104,101,113,128,147,133
" ","Horsens",411,366,368,359,270,358,374,338,377,375
" ","Norddjurs",181,160,161,149,142,154,145,147,143,130
" ","Odder",47,43,60,46,40,41,50,42,40,40
" ","Randers",532,472,435,438,403,406,413,426,481,464
" ","Samsø",9,12,4,5,4,6,5,9,8,16
" ","Silkeborg",381,330,320,263,303,291,269,333,292,339
" ","Skanderborg",145,104,108,109,91,90,104,84,96,87
" ","Syddjurs",142,128,107,95,83,105,90,102,100,99
" ","Aarhus",1738,1625,1522,1351,1194,1177,1338,1381,1339,1444
" ","Herning",333,332,368,325,337,329,313,364,348,353
" ","Holstebro",244,223,180,207,198,182,185,228,197,219
" ","Ikast-Brande",150,128,128,102,140,130,150,145,159,139
" ","Lemvig",67,60,47,41,47,36,41,50,54,48
" ","Ringkøbing-Skjern",185,171,156,130,128,113,119,162,128,135
" ","Skive",200,159,171,128,148,128,136,174,136,184
" ","Struer",82,61,79,74,88,58,60,92,78,68
" ","Viborg",366,365,342,328,291,316,342,386,346,378
" ","Region Nordjylland",2469,2439,2314,2127,1899,1963,1952,2061,1944,1998
" ","Brønderslev",131,133,133,115,121,117,114,126,110,103
" ","Frederikshavn",234,215,191,198,178,196,212,189,170,195
" ","Hjørring",258,261,279,244,220,220,180,191,220,203
" ","Jammerbugt",151,126,137,112,110,118,126,121,112,107
" ","Læsø",3,6,4,3,3,2,2,3,0,3
" ","Mariagerfjord",155,179,169,138,142,127,137,158,148,170
" ","Morsø",80,71,67,79,67,85,56,58,70,69
" ","Rebild",82,85,62,68,58,65,51,66,58,59
" ","Thisted",168,148,141,142,136,143,129,149,134,126
