"Persons guilty in crimes by type of offence, region and time"

" "," ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
" ","Favrskov",2,0,2,1,1,2,3,5,3,0
" ","Hedensted",1,6,2,3,1,0,1,1,3,1
" ","Horsens",13,7,4,6,3,0,2,2,5,6
" ","Norddjurs",1,4,2,2,0,2,2,2,1,2
" ","Odder",0,1,2,1,2,1,0,0,2,1
" ","Randers",11,12,8,3,5,8,2,5,10,5
" ","Samsø",0,1,0,0,0,0,0,0,0,0
" ","Silkeborg",9,8,12,4,3,5,8,5,4,8
" ","Skanderborg",3,1,0,1,1,0,2,2,0,0
" ","Syddjurs",1,1,5,1,3,3,3,2,1,3
" ","Aarhus",40,23,19,15,15,12,19,26,23,21
" ","Herning",4,11,6,9,6,10,9,11,14,11
" ","Holstebro",4,6,3,7,4,6,4,6,4,6
" ","Ikast-Brande",4,6,7,2,4,3,6,7,4,3
" ","Lemvig",7,1,2,0,3,1,2,2,3,3
" ","Ringkøbing-Skjern",6,4,3,3,4,2,1,5,3,6
" ","Skive",7,6,6,4,5,4,9,5,3,8
" ","Struer",7,0,2,0,0,0,3,0,0,0
" ","Viborg",18,7,10,8,5,16,13,15,11,2
" ","Region Nordjylland",44,42,25,39,37,23,33,31,37,30
" ","Brønderslev",2,4,1,3,2,2,1,2,1,1
" ","Frederikshavn",2,4,3,2,6,1,3,2,5,3
" ","Hjørring",10,5,3,2,5,5,3,2,1,2
" ","Jammerbugt",1,4,5,2,4,0,4,4,2,2
" ","Læsø",0,0,0,0,0,1,0,0,0,0
" ","Mariagerfjord",6,1,0,1,1,2,5,3,4,4
" ","Morsø",4,0,2,1,3,5,1,3,4,6
" ","Rebild",0,4,0,1,0,2,1,1,2,2
" ","Thisted",3,4,5,10,2,2,3,1,5,3
" ","Vesthimmerlands",2,3,0,6,5,1,3,3,5,2
" ","Aalborg",14,13,6,11,9,2,9,10,8,5
"Theft of mopeds"
" ","All Denmark",117,93,73,48,36,48,43,41,33,28
" ","Region Hovedstaden",19,14,16,17,6,11,11,6,6,2
" ","Copenhagen",4,4,7,5,1,2,6,2,2,0
" ","Frederiksberg",0,0,0,0,1,0,0,0,0,0
" ","Dragør",0,0,0,0,0,0,0,0,0,0
" ","Tårnby",1,0,1,1,0,0,0,1,0,0
" ","Albertslund",0,1,0,1,0,0,0,0,0,0
" ","Ballerup",3,2,1,0,0,0,1,0,0,0
" ","Brøndby",2,0,0,0,0,0,1,0,0,0
" ","Gentofte",0,0,0,0,0,0,0,1,0,0
" ","Gladsaxe",0,0,0,1,2,3,1,0,0,0
" ","Glostrup",0,0,0,1,0,0,0,0,0,0
" ","Herlev",0,0,0,2,0,0,0,0,0,0
" ","Hvidovre",0,0,1,0,0,0,0,0,2,1
" ","Høje-Taastrup",1,0,2,1,0,0,0,2,0,1
" ","Ishøj",1,0,0,0,0,0,1,0,0,0
" ","Lyngby-Taarbæk",0,0,1,0,0,1,1,0,0,0
" ","Rødovre",1,0,1,0,0,0,0,0,0,0
" ","Vallensbæk",0,1,0,0,0,0,0,0,0,0
" ","Allerød",0,0,0,0,0,0,0,0,0,0
" ","Egedal",0,0,0,0,0,0,0,0,0,0
" ","Fredensborg",0,0,0,0,0,0,0,0,0,0
" ","Frederikssund",2,1,0,0,0,2,0,0,1,0
" ","Furesø",0,0,1,0,0,0,0,0,0,0
" ","Gribskov",0,0,0,0,0,0,0,0,0,0
" ","Halsnæs",1,0,0,1,0,1,0,0,0,0
" ","Helsingør",1,3,1,2,0,0,0,0,0,0
" ","Hillerød",0,1,0,1,0,0,0,0,1,0
" ","Hørsholm",0,0,0,0,0,0,0,0,0,0
" ","Rudersdal",2,0,0,0,0,1,0,0,0,0
" ","Bornholm",0,1,0,1,2,1,0,0,0,0
" ","Christiansø",0,0,0,0,0,0,0,0,0,0
" ","Region Sjælland",16,22,8,7,6,4,9,4,6,3
" ","Greve",1,3,0,0,0,0,3,1,0,0
" ","Køge",0,2,0,1,0,1,1,2,0,1
" ","Lejre",0,0,0,0,0,1,0,0,0,0
" ","Roskilde",0,2,0,1,1,0,1,0,0,1
" ","Solrød",0,0,0,0,0,0,0,0,0,0
" ","Faxe",2,0,1,0,0,0,0,0,0,0
" ","Guldborgsund",1,2,0,1,1,1,0,0,1,0
" ","Holbæk",0,1,0,0,0,0,1,0,0,0
" ","Kalundborg",3,2,1,0,0,0,0,1,0,0
" ","Lolland",0,3,1,0,1,0,0,0,1,1
" ","Næstved",1,3,1,1,2,1,2,0,0,0
" ","Odsherred",2,1,0,0,0,0,0,0,0,0
" ","Ringsted",4,0,0,0,0,0,0,0,1,0
" ","Slagelse",1,1,2,2,1,0,1,0,3,0
" ","Sorø",1,1,2,0,0,0,0,0,0,0
" ","Stevns",0,0,0,0,0,0,0,0,0,0
" ","Vordingborg",0,1,0,1,0,0,0,0,0,0
" ","Region Syddanmark",30,24,24,11,14,12,7,6,13,7
" ","Assens",1,0,2,0,0,0,0,0,0,0
" ","Faaborg-Midtfyn",0,0,0,0,3,0,0,0,0,0
" ","Kerteminde",0,0,1,0,0,0,0,0,0,0
" ","Langeland",0,0,1,0,0,0,0,0,0,0
" ","Middelfart",1,1,0,1,2,1,0,0,0,1
" ","Nordfyns",0,1,0,0,0,2,0,0,1,0
" ","Nyborg",1,0,0,0,0,0,0,0,0,0
" ","Odense",7,7,6,3,0,4,2,1,3,0
" ","Svendborg",0,1,0,0,1,1,1,1,0,0
" ","Ærø",2,0,0,0,0,0,0,0,0,0
" ","Billund",0,1,0,0,0,0,0,0,0,0
" ","Esbjerg",5,2,1,1,4,3,1,0,4,1
" ","Fanø",0,0,0,0,0,0,0,0,0,0
" ","Fredericia",1,1,1,0,0,0,0,0,0,0
" ","Haderslev",2,3,3,1,0,0,0,0,0,2
" ","Kolding",0,0,1,0,0,0,1,0,1,0
" ","Sønderborg",3,0,0,0,1,0,0,2,3,1
" ","Tønder",1,2,1,2,1,0,0,2,0,0
" ","Varde",3,0,1,0,0,0,0,0,0,0
" ","Vejen",1,0,1,0,0,0,0,0,0,0
" ","Vejle",0,1,4,3,1,1,1,0,0,0
" ","Aabenraa",2,4,1,0,1,0,1,0,1,2
" ","Region Midtjylland",30,22,14,8,8,14,10,11,3,11
" ","Favrskov",0,0,3,1,1,1,0,0,0,0
" ","Hedensted",0,1,0,0,0,1,1,0,0,0
" ","Horsens",1,3,0,0,0,0,2,1,0,0
" ","Norddjurs",2,1,1,0,0,2,4,0,0,0
" ","Odder",0,0,0,0,0,0,0,0,0,0
" ","Randers",6,1,1,0,1,1,0,0,0,2
" ","Samsø",0,0,0,0,0,0,0,0,1,0
" ","Silkeborg",2,1,0,0,0,1,1,1,0,0
" ","Skanderborg",5,0,0,0,0,2,0,0,0,0
" ","Syddjurs",1,0,0,0,0,0,0,1,1,0
" ","Aarhus",5,6,4,2,2,1,2,3,0,1
" ","Herning",1,4,2,0,2,3,0,0,0,2
" ","Holstebro",1,1,1,0,1,1,0,1,0,3
" ","Ikast-Brande",1,1,1,0,0,0,0,0,0,0
" ","Lemvig",0,0,0,1,0,0,0,0,0,0
" ","Ringkøbing-Skjern",0,1,0,0,0,1,0,0,0,0
" ","Skive",0,2,0,2,0,0,0,1,0,1
" ","Struer",0,0,0,0,0,0,0,0,0,1
" ","Viborg",5,0,1,2,1,0,0,3,1,1
" ","Region Nordjylland",22,11,11,5,2,7,6,14,5,5
" ","Brønderslev",1,0,0,1,1,1,0,0,0,1
" ","Frederikshavn",2,1,2,1,0,0,1,0,0,0
" ","Hjørring",6,1,1,0,0,1,1,1,0,1
" ","Jammerbugt",4,0,1,0,0,1,0,2,1,1
" ","Læsø",0,0,0,0,0,0,0,0,0,0
" ","Mariagerfjord",1,1,1,0,0,1,0,0,0,2
" ","Morsø",1,0,0,0,0,0,0,0,0,0
" ","Rebild",0,1,0,0,0,0,0,0,0,0
" ","Thisted",0,1,1,2,0,1,3,6,0,0
" ","Vesthimmerlands",0,3,1,1,1,0,0,0,1,0
" ","Aalborg",7,3,4,0,0,2,1,5,3,0
"Theft of bicycles"
" ","All Denmark",191,224,164,121,89,93,118,132,128,153
" ","Region Hovedstaden",47,66,51,36,20,22,48,53,56,66
" ","Copenhagen",23,34,23,16,11,10,21,28,25,37
" ","Frederiksberg",2,1,4,1,0,0,3,1,3,6
" ","Dragør",0,0,0,0,0,0,0,0,0,0
" ","Tårnby",3,3,2,1,0,0,1,1,1,1
" ","Albertslund",2,1,3,0,1,1,1,4,4,2
" ","Ballerup",0,1,0,0,1,0,2,2,2,0
" ","Brøndby",3,2,3,0,0,3,0,1,0,1
" ","Gentofte",1,2,0,1,0,0,0,1,1,0
" ","Gladsaxe",2,2,2,1,0,1,6,0,2,3
" ","Glostrup",0,3,1,2,0,0,1,0,1,6
" ","Herlev",0,0,1,0,0,2,0,2,0,1
" ","Hvidovre",1,4,3,2,0,2,1,1,7,2
" ","Høje-Taastrup",1,4,1,2,0,1,4,3,3,3
" ","Ishøj",0,1,0,0,0,0,2,1,0,0
" ","Lyngby-Taarbæk",2,0,1,0,0,1,0,0,0,1
" ","Rødovre",0,0,1,2,1,0,1,1,1,1
" ","Vallensbæk",0,3,0,0,0,0,0,1,0,0
" ","Allerød",0,0,1,0,2,0,0,0,0,0
" ","Egedal",1,0,0,0,1,0,0,0,2,0
" ","Fredensborg",1,0,0,0,0,0,0,0,0,0
" ","Frederikssund",1,0,1,0,0,1,1,0,1,0
" ","Furesø",1,2,1,0,1,0,0,2,0,0
" ","Gribskov",0,1,0,0,0,0,1,1,0,0
" ","Halsnæs",0,1,0,2,0,0,0,0,0,1
" ","Helsingør",2,0,0,0,2,0,1,0,1,0
" ","Hillerød",0,1,3,5,0,0,0,3,1,0
" ","Hørsholm",0,0,0,0,0,0,0,0,0,0
" ","Rudersdal",0,0,0,0,0,0,0,0,0,0
" ","Bornholm",1,0,0,1,0,0,2,0,1,1
" ","Christiansø",0,0,0,0,0,0,0,0,0,0
" ","Region Sjælland",38,30,23,15,12,13,17,26,16,24
" ","Greve",1,0,2,0,1,1,0,1,1,0
" ","Køge",2,1,3,0,4,0,1,4,2,3
" ","Lejre",0,1,0,0,0,0,0,0,0,0
" ","Roskilde",4,2,0,1,2,1,0,0,3,1
" ","Solrød",0,0,0,1,0,0,1,1,1,0
" ","Faxe",1,1,1,0,0,1,1,2,1,0
" ","Guldborgsund",5,5,5,2,0,0,3,3,0,1
" ","Holbæk",5,2,1,2,0,2,0,1,0,2
" ","Kalundborg",2,2,1,1,0,3,1,2,0,2
" ","Lolland",3,2,0,0,2,0,5,2,1,5
" ","Næstved",6,7,1,2,2,0,1,8,3,0
" ","Odsherred",0,2,2,0,0,1,0,0,0,0
" ","Ringsted",2,1,1,0,0,0,1,0,2,0
" ","Slagelse",3,2,3,4,0,2,3,0,2,5
" ","Sorø",1,1,1,0,0,0,0,1,0,1
" ","Stevns",0,0,0,0,1,1,0,0,0,0
" ","Vordingborg",3,1,2,2,0,1,0,1,0,4
" ","Region Syddanmark",53,64,40,27,24,25,20,22,25,27
" ","Assens",2,3,1,0,1,0,1,1,1,0
" ","Faaborg-Midtfyn",2,2,0,0,0,0,0,0,1,0
" ","Kerteminde",2,0,2,0,0,0,0,0,0,0
" ","Langeland",0,0,0,0,1,0,0,0,0,0
" ","Middelfart",2,3,0,0,0,1,0,0,0,0
" ","Nordfyns",1,0,0,0,0,1,0,1,0,1
" ","Nyborg",2,2,0,1,0,0,0,1,1,0
" ","Odense",18,26,14,8,6,5,4,8,3,4
" ","Svendborg",1,3,2,5,1,1,3,0,1,4
" ","Ærø",0,0,0,0,0,0,0,0,0,0
" ","Billund",0,3,1,1,0,0,0,0,1,1
" ","Esbjerg",7,4,5,1,3,6,1,1,5,4
" ","Fanø",0,0,0,0,0,0,0,0,2,0
" ","Fredericia",2,0,2,3,3,4,1,1,0,1
" ","Haderslev",2,1,2,0,1,0,3,1,1,0
" ","Kolding",2,6,2,1,0,1,0,1,1,3
" ","Sønderborg",3,2,2,2,1,1,1,0,2,1
" ","Tønder",1,1,0,0,1,0,2,3,2,1
" ","Varde",0,2,1,2,1,2,1,1,1,1
" ","Vejen",1,2,0,1,1,1,0,0,0,2
" ","Vejle",3,3,5,2,1,2,3,2,2,4
" ","Aabenraa",2,1,1,0,3,0,0,1,1,0
" ","Region Midtjylland",41,46,31,31,25,20,21,21,23,25
" ","Favrskov",1,1,1,0,1,2,0,0,0,0
" ","Hedensted",1,2,0,1,0,1,1,0,2,2
" ","Horsens",4,2,1,5,0,0,0,1,1,2
" ","Norddjurs",0,0,1,1,0,1,2,1,2,1
" ","Odder",2,1,0,0,0,0,0,0,0,0
" ","Randers",4,8,0,7,5,1,2,3,2,1
" ","Samsø",0,0,0,0,0,0,0,0,0,1
" ","Silkeborg",1,3,4,0,1,1,0,0,1,2
" ","Skanderborg",0,2,3,0,0,2,0,0,1,1
" ","Syddjurs",2,2,1,0,0,0,0,0,0,0
" ","Aarhus",17,13,8,2,5,4,11,9,5,6
" ","Herning",0,2,4,3,4,1,4,1,3,5
" ","Holstebro",1,3,2,1,2,3,1,2,1,0
" ","Ikast-Brande",2,2,2,0,2,2,0,2,0,1
" ","Lemvig",0,1,0,0,0,0,0,0,0,0
" ","Ringkøbing-Skjern",1,1,0,4,0,1,0,0,0,0
" ","Skive",2,0,1,1,2,0,0,0,1,2
" ","Struer",0,0,1,0,0,0,0,0,0,0
" ","Viborg",3,3,2,6,3,1,0,2,4,1
" ","Region Nordjylland",12,18,19,12,8,13,12,10,8,11
" ","Brønderslev",2,0,4,1,0,1,1,0,0,0
" ","Frederikshavn",1,0,1,1,2,1,4,3,0,3
" ","Hjørring",1,2,0,1,2,0,2,1,1,1
" ","Jammerbugt",0,0,2,1,0,2,1,0,0,2
" ","Læsø",0,0,0,0,0,0,0,0,0,0
" ","Mariagerfjord",1,2,0,0,0,0,0,0,1,0
" ","Morsø",0,1,0,0,0,0,1,0,0,0
" ","Rebild",0,1,0,2,0,1,0,0,0,0
" ","Thisted",2,0,0,0,1,0,0,2,2,0
" ","Vesthimmerlands",2,1,2,1,0,2,0,0,0,0
" ","Aalborg",3,11,10,5,3,6,3,4,4,5
"Theft of other objects"
" ","All Denmark",297,259,202,179,189,183,166,162,161,140
" ","Region Hovedstaden",81,60,48,45,48,46,38,42,41,27
" ","Copenhagen",25,29,18,19,20,16,20,19,16,5
" ","Frederiksberg",4,0,4,1,0,2,1,1,0,1
" ","Dragør",0,0,0,0,0,0,0,0,0,0
" ","Tårnby",0,0,1,0,0,1,1,2,0,1
" ","Albertslund",0,1,0,0,1,0,2,0,0,1
" ","Ballerup",3,4,3,1,1,2,0,2,2,0
" ","Brøndby",1,2,1,2,6,3,1,0,2,2
" ","Gentofte",1,0,1,2,0,1,1,0,1,0
" ","Gladsaxe",7,1,1,1,2,4,1,2,3,5
" ","Glostrup",1,0,0,0,0,0,0,0,0,1
" ","Herlev",1,3,0,0,0,0,0,0,1,1
" ","Hvidovre",7,1,3,1,1,2,0,0,3,0
" ","Høje-Taastrup",0,3,0,4,2,1,1,3,1,2
" ","Ishøj",5,0,0,1,0,2,1,1,0,0
" ","Lyngby-Taarbæk",1,0,2,1,1,1,0,1,0,1
" ","Rødovre",5,3,2,1,0,0,0,0,0,1
" ","Vallensbæk",0,2,0,0,0,0,0,0,0,1
" ","Allerød",1,0,0,0,0,0,0,0,0,0
" ","Egedal",0,0,1,1,1,0,1,1,0,0
" ","Fredensborg",1,0,1,0,1,0,0,0,1,0
" ","Frederikssund",3,3,0,4,0,2,0,1,1,0
" ","Furesø",0,0,1,0,1,0,2,2,0,0
" ","Gribskov",0,0,0,1,1,1,0,0,3,0
" ","Halsnæs",4,1,0,0,0,0,0,1,2,0
" ","Helsingør",4,3,7,2,1,3,0,1,2,3
" ","Hillerød",3,1,2,0,0,3,2,1,2,0
" ","Hørsholm",0,0,0,0,0,0,0,0,0,0
" ","Rudersdal",0,0,0,0,8,1,1,0,0,0
" ","Bornholm",4,3,0,3,1,1,3,4,1,2
" ","Christiansø",0,0,0,0,0,0,0,0,0,0
" ","Region Sjælland",42,38,35,37,26,38,33,31,27,23
" ","Greve",0,3,0,1,0,0,3,1,0,1
" ","Køge",5,2,2,0,0,3,1,1,2,2
" ","Lejre",0,1,0,0,0,0,1,0,0,0
" ","Roskilde",2,2,2,5,4,3,1,2,2,0
" ","Solrød",0,0,0,1,0,0,0,0,0,0
" ","Faxe",2,0,1,3,0,4,1,0,1,0
" ","Guldborgsund",4,4,11,4,3,4,2,1,2,4
" ","Holbæk",3,2,2,4,3,1,3,4,1,1
" ","Kalundborg",4,1,4,3,0,2,0,3,4,6
" ","Lolland",1,1,1,3,3,6,9,2,2,0
" ","Næstved",6,9,8,4,2,4,2,5,2,2
" ","Odsherred",2,1,0,2,1,2,0,3,1,0
" ","Ringsted",2,2,1,1,0,1,0,0,1,3
" ","Slagelse",6,3,0,3,5,4,1,7,4,0
" ","Sorø",1,0,0,0,2,4,2,0,1,3
" ","Stevns",1,4,0,0,1,0,0,0,1,0
" ","Vordingborg",3,3,3,3,2,0,7,2,3,1
" ","Region Syddanmark",86,83,57,47,58,49,48,39,45,39
" ","Assens",0,1,3,1,3,0,1,2,2,0
" ","Faaborg-Midtfyn",1,3,2,0,2,7,2,0,0,0
" ","Kerteminde",0,1,1,2,0,0,0,0,0,2
" ","Langeland",0,0,0,0,1,2,0,1,0,0
" ","Middelfart",0,0,4,0,3,0,0,0,0,0
" ","Nordfyns",3,3,1,1,1,0,2,0,2,1
" ","Nyborg",2,2,0,0,0,4,0,0,1,1
" ","Odense",18,28,15,15,15,12,19,8,3,8
" ","Svendborg",4,0,1,0,2,3,2,4,5,2
" ","Ærø",0,2,1,0,0,0,0,0,1,0
" ","Billund",0,1,0,0,0,1,0,1,1,2
" ","Esbjerg",7,7,5,5,3,4,5,2,6,2
" ","Fanø",0,0,0,0,0,0,0,0,0,0
" ","Fredericia",4,5,4,4,4,1,1,3,0,3
" ","Haderslev",4,2,5,4,2,3,2,3,0,2
" ","Kolding",6,12,1,3,6,3,2,4,4,4
" ","Sønderborg",10,1,6,2,5,2,2,2,3,1
" ","Tønder",5,3,4,3,2,2,1,4,6,0
" ","Varde",6,1,1,0,2,2,2,1,1,1
" ","Vejen",4,4,1,2,0,0,2,2,0,2
" ","Vejle",7,7,0,3,6,2,3,1,7,7
" ","Aabenraa",5,0,2,2,1,1,2,1,3,1
" ","Region Midtjylland",55,47,50,30,46,37,31,31,37,37
" ","Favrskov",4,1,1,0,2,1,1,0,1,0
" ","Hedensted",3,1,2,0,1,1,1,1,1,1
" ","Horsens",1,11,2,2,1,3,2,4,3,6
" ","Norddjurs",4,0,1,0,4,1,6,3,2,5
" ","Odder",0,0,2,0,0,0,0,0,0,0
" ","Randers",5,2,3,1,4,5,3,4,2,2
" ","Samsø",0,0,0,0,0,0,0,0,0,0
" ","Silkeborg",2,2,1,2,1,1,2,0,1,1
" ","Skanderborg",0,0,2,1,1,1,1,0,1,3
" ","Syddjurs",3,0,0,0,0,0,3,2,2,4
" ","Aarhus",13,13,13,11,11,6,3,8,8,6
" ","Herning",4,4,10,5,7,5,3,1,5,2
" ","Holstebro",1,4,5,2,0,4,2,3,3,2
" ","Ikast-Brande",2,1,3,2,2,2,0,0,1,0
" ","Lemvig",2,1,0,0,0,1,1,0,0,1
" ","Ringkøbing-Skjern",2,2,1,1,4,0,0,3,0,1
" ","Skive",0,1,1,2,2,1,1,0,1,2
" ","Struer",6,0,0,0,3,1,0,0,5,0
" ","Viborg",3,4,3,1,3,4,2,2,1,1
" ","Region Nordjylland",33,31,12,20,11,13,16,19,11,14
" ","Brønderslev",1,6,0,0,1,2,2,3,0,0
" ","Frederikshavn",0,1,1,2,2,0,0,0,0,0
" ","Hjørring",3,3,2,5,3,0,3,2,2,1
" ","Jammerbugt",0,2,1,1,1,0,1,2,2,1
" ","Læsø",0,0,0,0,0,0,0,0,0,0
" ","Mariagerfjord",5,4,0,2,0,2,0,2,1,3
" ","Morsø",2,1,0,1,0,1,2,1,0,0
" ","Rebild",3,3,0,1,0,0,0,1,0,1
" ","Thisted",3,0,0,4,2,1,3,0,2,1
" ","Vesthimmerlands",1,1,2,1,1,3,2,1,2,2
" ","Aalborg",15,10,6,3,1,4,3,7,2,5
"Larceny by finding"
" ","All Denmark",356,319,274,204,200,180,136,199,194,142
" ","Region Hovedstaden",105,101,81,64,53,44,40,72,62,47
" ","Copenhagen",44,39,35,27,24,16,19,26,23,22
" ","Frederiksberg",3,3,6,7,2,1,0,8,0,1
" ","Dragør",0,0,0,0,0,0,0,0,0,0
" ","Tårnby",3,3,1,1,2,1,1,2,3,3
" ","Albertslund",3,2,0,3,0,1,0,2,3,2
" ","Ballerup",6,3,2,0,3,2,1,0,1,1
" ","Brøndby",3,8,2,1,6,0,0,1,2,0
" ","Gentofte",1,4,3,0,0,3,3,1,3,1
" ","Gladsaxe",5,3,4,1,0,0,3,2,1,1
" ","Glostrup",2,1,1,1,0,1,0,1,0,0
" ","Herlev",3,0,0,1,1,0,0,3,0,1
" ","Hvidovre",1,8,0,1,3,1,0,1,2,2
" ","Høje-Taastrup",3,3,5,1,1,2,3,0,4,2
" ","Ishøj",4,1,0,1,0,0,0,2,3,0
" ","Lyngby-Taarbæk",0,1,0,0,0,1,1,1,1,0
" ","Rødovre",4,3,0,2,1,1,0,2,2,2
" ","Vallensbæk",0,1,0,0,0,0,0,1,0,0
" ","Allerød",0,0,2,0,0,0,0,0,0,1
" ","Egedal",1,0,1,1,1,0,1,1,1,1
" ","Fredensborg",0,2,0,3,0,1,0,2,1,0
" ","Frederikssund",1,2,4,1,2,7,5,9,4,2
" ","Furesø",2,0,1,1,0,0,0,0,0,0
" ","Gribskov",4,2,1,2,0,2,1,1,1,2
" ","Halsnæs",3,4,5,5,3,1,1,1,1,0
" ","Helsingør",3,3,5,0,0,0,0,2,3,1
" ","Hillerød",3,0,2,3,2,1,1,2,2,2
" ","Hørsholm",0,0,0,0,1,1,0,0,0,0
" ","Rudersdal",0,0,0,0,0,0,0,0,0,0
" ","Bornholm",3,5,1,1,1,1,0,1,1,0
" ","Christiansø",0,0,0,0,0,0,0,0,0,0
" ","Region Sjælland",79,50,51,37,47,54,26,40,21,23
" ","Greve",2,1,3,2,2,0,2,4,1,1
" ","Køge",4,4,3,4,1,3,2,3,3,0
" ","Lejre",1,1,1,0,1,1,1,0,0,1
" ","Roskilde",6,3,2,2,2,4,2,0,1,1
" ","Solrød",0,1,1,1,1,0,0,0,1,0
" ","Faxe",2,1,1,1,2,0,0,0,1,0
" ","Guldborgsund",9,4,8,3,6,10,1,1,3,1
" ","Holbæk",5,6,2,0,2,5,1,3,0,2
" ","Kalundborg",11,7,4,3,8,4,3,5,1,3
" ","Lolland",4,6,1,6,6,7,5,5,0,1
" ","Næstved",8,0,2,2,2,3,0,3,6,4
" ","Odsherred",7,4,6,1,0,3,1,5,0,4
" ","Ringsted",4,2,5,1,2,2,1,1,1,0
" ","Slagelse",6,6,7,3,5,5,2,5,3,3
" ","Sorø",3,0,0,3,1,5,2,2,0,0
" ","Stevns",3,1,1,3,1,0,2,2,0,1
" ","Vordingborg",4,3,4,2,5,2,1,1,0,1
" ","Region Syddanmark",73,81,67,55,46,38,31,40,50,32
" ","Assens",5,0,2,1,4,2,1,2,3,0
" ","Faaborg-Midtfyn",5,4,2,2,2,2,0,0,1,2
" ","Kerteminde",0,0,2,0,0,1,0,0,1,0
" ","Langeland",1,0,1,1,0,2,0,1,0,0
" ","Middelfart",2,1,2,2,1,1,2,1,2,0
" ","Nordfyns",1,5,1,0,1,1,0,1,3,0
" ","Nyborg",1,3,2,0,2,2,2,0,0,0
" ","Odense",11,14,8,6,5,3,6,7,8,8
" ","Svendborg",2,3,5,2,2,3,1,0,0,1
" ","Ærø",0,1,0,0,0,0,0,0,0,0
" ","Billund",1,1,0,1,1,0,0,2,3,1
" ","Esbjerg",8,9,9,8,5,2,6,6,3,5
" ","Fanø",0,0,0,0,1,1,0,0,0,0
" ","Fredericia",5,2,2,3,2,0,2,5,2,4
" ","Haderslev",5,8,5,4,5,3,2,3,1,1
" ","Kolding",1,8,2,0,2,5,2,0,3,3
" ","Sønderborg",4,1,3,10,0,0,3,2,5,1
" ","Tønder",5,2,3,2,4,1,0,2,2,0
" ","Varde",2,1,1,3,1,2,1,1,2,1
" ","Vejen",2,4,5,5,3,1,0,0,4,1
" ","Vejle",3,6,5,4,2,4,2,3,3,2
" ","Aabenraa",9,8,7,1,3,2,1,4,4,2
" ","Region Midtjylland",66,51,41,28,38,29,25,26,49,28
" ","Favrskov",2,3,3,1,3,2,1,0,3,1
" ","Hedensted",0,2,0,1,1,1,0,1,5,1
" ","Horsens",2,2,3,1,1,1,0,2,3,2
" ","Norddjurs",1,1,3,5,1,0,1,1,0,2
" ","Odder",1,1,1,1,1,1,0,0,0,0
" ","Randers",11,7,1,3,2,1,3,6,7,1
" ","Samsø",0,1,0,0,0,0,0,0,0,0
" ","Silkeborg",8,4,1,1,1,0,0,1,3,0
" ","Skanderborg",4,1,1,1,2,1,0,1,0,1
" ","Syddjurs",2,1,0,0,1,1,2,1,1,0
" ","Aarhus",18,8,14,8,13,8,7,5,15,7
" ","Herning",0,7,3,3,4,2,3,2,2,3
" ","Holstebro",4,4,3,0,0,1,1,1,0,2
" ","Ikast-Brande",4,1,2,1,2,2,1,1,0,1
" ","Lemvig",2,0,0,0,0,0,2,0,1,0
" ","Ringkøbing-Skjern",2,2,0,1,2,2,0,2,2,0
" ","Skive",2,3,1,0,1,2,1,0,3,3
" ","Struer",0,0,1,0,1,0,0,0,0,1
" ","Viborg",3,3,4,1,2,4,3,2,4,3
" ","Region Nordjylland",33,36,34,20,16,15,14,21,12,12
" ","Brønderslev",3,2,6,0,2,1,1,2,2,0
" ","Frederikshavn",7,3,3,4,2,3,1,2,1,1
" ","Hjørring",3,5,4,1,1,2,1,3,2,1
" ","Jammerbugt",3,3,4,1,1,1,1,2,0,2
" ","Læsø",0,1,0,0,0,0,0,0,0,0
" ","Mariagerfjord",2,2,3,1,1,0,0,0,0,0
" ","Morsø",0,0,1,1,1,1,0,0,1,1
" ","Rebild",1,2,0,1,0,0,2,0,0,0
" ","Thisted",2,2,1,3,1,2,1,1,1,1
" ","Vesthimmerlands",2,3,3,4,0,4,0,1,3,2
" ","Aalborg",10,13,9,4,7,1,7,10,2,4
"Embezzlement"
" ","All Denmark",144,150,174,118,77,43,72,92,65,75
" ","Region Hovedstaden",32,34,43,40,28,9,31,35,17,27
" ","Copenhagen",9,13,12,12,4,1,10,9,5,6
" ","Frederiksberg",1,2,0,1,0,0,1,0,0,1
" ","Dragør",0,0,0,0,0,0,1,0,0,0
" ","Tårnby",1,0,2,1,0,0,0,0,0,0
" ","Albertslund",0,3,0,4,1,0,0,2,0,0
" ","Ballerup",0,1,4,2,1,0,1,3,0,2
" ","Brøndby",0,0,1,3,3,1,0,1,0,2
" ","Gentofte",0,3,0,3,1,0,1,0,0,3
" ","Gladsaxe",0,0,1,0,0,0,2,3,1,1
" ","Glostrup",1,2,0,2,0,0,1,0,1,1
" ","Herlev",1,1,3,0,1,1,1,1,0,0
" ","Hvidovre",1,1,2,0,1,0,0,1,3,1
" ","Høje-Taastrup",2,0,4,1,2,1,3,6,0,1
" ","Ishøj",0,0,0,3,0,0,2,2,0,0
" ","Lyngby-Taarbæk",0,1,1,0,1,0,0,0,0,0
" ","Rødovre",6,0,2,0,2,1,2,0,0,2
" ","Vallensbæk",0,0,0,0,0,1,1,1,1,0
" ","Allerød",0,0,0,1,0,0,0,0,0,0
" ","Egedal",0,0,3,2,1,0,3,0,0,1
" ","Fredensborg",2,0,2,0,0,0,0,1,0,0
