"Total";"Other legislation applying to animals, hunting, etc";579;576;1140;1529;1751;1413;1456;1713;2485;3424;3438;2850;2367;1999;1681;1572;1716;1868;1945;1827;1782
"Total";"Employ. and transport legislation, other";1034;950;1766;1700;1852;1302;1191;1419;1720;2147;2268;1613;2103;1909;1950;2042;1983;2584;2693;1591;2038
"Total";"Companies Act";189;111;94;100;59;65;41;46;76;92;220;302;187;122;339;154;56;149;355;343;627
"Total";"Other legislation applying to the Armed Forces";207;284;438;514;561;672;472;589;558;415;514;1304;1396;1270;3471;4521;3808;2726;1016;271;2640
"Total";"Legislation applying to public utilities";65;71;77;91;122;91;76;150;136;106;188;71;90;53;37;55;53;38;51;27;33
"Total";"Other legislation relating to gambling, licencing, trade";486;404;636;631;710;587;542;556;593;798;1334;1299;1114;940;680;647;607;717;504;301;597
"Total";"Other special laws";9;14;18;31;22;35;29;35;30;23;93;36;147;50;55;58;88;102;89;84;49
"Persons of Danish origin";"Criminal decisions total";110854;95074;125123;145559;132262;113725;112581;116978;121611;130401;134551;134103;134886;129337;126230;116522;113111;123181;136297;129134;124175
"Persons of Danish origin";"Criminal code, total";26333;25447;26409;26657;24026;19998;20270;22107;23459;23269;22528;20630;19188;18061;16962;14959;14953;15584;16949;15803;15876
"Persons of Danish origin";"Sexual offenses, total";432;485;562;629;545;477;465;522;560;498;539;476;425;456;461;457;495;1204;771;747;773
"Persons of Danish origin";"Incest, etc.";25;32;32;27;24;29;31;25;29;18;18;17;10;15;9;7;8;10;8;17;8
"Persons of Danish origin";"Rape, etc";49;39;41;39;38;49;33;35;29;28;43;30;18;31;36;40;38;42;61;78;83
"Persons of Danish origin";"Heterosexual offences with children under 12 years";41;52;47;37;47;34;39;44;49;56;46;33;3;0;2;0;0;0;0;0;1
"Persons of Danish origin";"Sexual offence against child under 12 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;19;44;40;39;36;37;52;43;43;31
"Persons of Danish origin";"Heterosexual offences, other";38;46;61;104;92;64;69;110;85;70;93;55;6;1;0;0;0;0;0;0;0
"Persons of Danish origin";"Sexual offence against child under 15 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;17;62;67;75;54;60;73;63;56;58
"Persons of Danish origin";"Sexual offence, other (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;6;11;20;16;19;22;25;24;10;6
"Persons of Danish origin";"Homosexual offences, with children under 12 years";10;4;9;5;8;5;4;6;3;1;2;1;0;0;0;0;0;0;0;0;0
"Persons of Danish origin";"Homosexual offences, other";11;9;10;6;4;2;5;2;4;5;6;0;0;0;0;0;0;0;0;0;0
"Persons of Danish origin";"Offences against decency, by  pawing";66;58;81;82;76;75;58;75;93;62;69;60;64;73;62;65;71;61;84;89;76
"Persons of Danish origin";"Offences against decency, by removing clothes";59;86;73;88;59;58;35;55;54;45;62;53;65;58;52;42;50;53;87;65;69
"Persons of Danish origin";"Offences against decency, other";96;93;106;102;92;89;83;61;101;97;90;89;76;97;108;104;140;464;205;195;199
"Persons of Danish origin";"Prostitution, etc.";37;66;102;139;105;72;108;109;113;116;110;96;66;54;62;90;69;424;196;194;242
"Persons of Danish origin";"Crimes of violence, total";4757;5278;5870;6302;6112;5516;5438;5446;6009;5565;5265;4604;4033;4126;4036;4274;4318;4345;4773;4193;4277
"Persons of Danish origin";"Assault against public servant while in discharge of his duties";665;725;981;1135;1148;926;858;911;1109;1011;1037;963;923;1003;974;1169;1209;1218;1357;1216;1222
"Persons of Danish origin";"Disturbance of public order";1;1;2;1;3;23;17;6;80;16;24;6;23;59;68;41;38;57;75;37;75
"Persons of Danish origin";"Homicide";23;24;21;27;17;14;13;24;39;16;21;18;13;20;14;22;20;16;25;18;10
"Persons of Danish origin";"Attempted homicide";14;11;3;11;9;12;16;17;16;23;14;20;12;14;19;15;14;13;14;18;16
"Persons of Danish origin";"Coercive control etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;16
"Persons of Danish origin";"Common assault";2967;3279;3458;3589;3480;3253;3207;3112;3181;3056;2842;2387;2101;1998;1959;2064;2012;1952;2107;1753;1855
"Persons of Danish origin";"Grievous assault";516;580;643;734;672;648;689;706;712;710;632;559;430;436;466;395;461;505;464;426;432
"Persons of Danish origin";"Particularly grievous assault";31;11;28;9;15;17;13;14;11;10;8;6;4;7;1;2;6;4;2;8;9
"Persons of Danish origin";"Assault, unprovoked";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
